0.0353663768462993	Bacteria	Desulfobacterota_I	Desulfarculia_446701	Adiutricales	Adiutricaceae	Adiutrix	Adiutrix intracellularis
0.0447202222886824	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila_D_776658
0.0193809134365541	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides_H	Bacteroides_H sp010500965
0.0561827892669088	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides_H	Bacteroides_H sp010501015
0.033319429589059	Bacteria	Firmicutes_A	Clostridia_258483	TANB77	CAG-508	CAG-269	CAG-269 sp000431335
0.0394874710633462	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Acutalibacteraceae	DTU089	DTU089 sp002069015
0.0383201428973756	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas macrotermitis
0.0461614894919985	Bacteria	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	FLUQ01	FLUQ01 sp900079685
0.0415661502093002	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Acutalibacteraceae	Fimenecus	Fimenecus sp004555265
0.034470773555328	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Gallalistipes	Gallalistipes aquisgranensis
0.0490722930576834	Bacteria	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Mailhella	Mailhella massiliensis
0.0404730336145355	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Oscillospiraceae_88309	Marseille-P3106	Marseille-P3106 sp900169975
0.0396689990858611	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Ruminococcaceae	Massilioclostridium	Massilioclostridium coli
0.0486074830098132	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	Merdisoma	Merdisoma sp011959465
0.0486670351650227	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	Paramuribaculum sp900551515
0.0395595737812247	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales_650611	Pseudomonadaceae	Pseudomonas_F	Pseudomonas_F furukawaii
0.036331470623045	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Raoultibacter	Raoultibacter sp009782605
0.0362189321828782	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Oscillospiraceae_88309	UBA2658	UBA2658 sp009929315
0.0388724653646901	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales_597432	Rhodocyclaceae	Tepidiphilus	Tepidiphilus succinatimandens
0.0354393644903459	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA11471	UBA11471	UBA11471 sp000434215
0.0340076298896822	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas alginatilytica
0.0295163209332982	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas gadei
0.0355061011242291	Bacteria	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Frigididesulfovibrio_A_446422	Frigididesulfovibrio cuneatus
0.0296014545108419	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Lactobacillaceae	Weissella_A_338544	Weissella_A_338544 thailandensis
0.0351563285411046	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc_B	Leuconostoc_B falkenbergense
0.0343257559808909	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Oscillospiraceae_88309	Papillibacter	Papillibacter cinnamivorans
