0.0194420193828461	Bacteria	Acidobacteriota	Blastocatellia	UBA7656	UBA7656	QHVH01	QHVH01 sp003222245
0.0451362939657767	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_A_501396	Rhizobiaceae_A_499470	QLZD01	QLZD01 sp008636115
0.0320932160920838	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium_A_485959	Sphingobium_A_485959 yanoikuyae
0.0330947432271357	Bacteria	Firmicutes_D	Bacilli	Mycoplasmatales	VBWQ01	Spiroplasma_D	Spiroplasma_D platyhelix
0.0273669697122193	Bacteria	Bacteroidota	Bacteroidia	AKYH767	B-17BO	UBA4416	UBA4416 sp002420145
0.0265651325454104	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	Chthoniobacter flavus
0.0393907532081479	Bacteria	Cyanobacteria	Vampirovibrionia	Obscuribacterales	Obscuribacteraceae	Obscuribacter	Obscuribacter phosphatis
0.0331872685829015	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter_A_405431	Rubrobacter_A_405431 bracarensis
0.0405698670551947	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales_592524	Burkholderiaceae_A_580492	Ralstonia	Ralstonia pickettii_B
0.0187668123310352	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_A_501396	Rhizobiaceae_A_499470	Tokpelaia_A_499111	Tokpelaia hoelldoblerii
0.0179861797025135	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales_595422	Burkholderiaceae_A_595422	Achromobacter	Achromobacter denitrificans_593100
0.0229292671704886	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae_26365	Calothrix	Calothrix sp000331305
0.0364642737882874	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0.0496861183927679	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	Zambryskibacteraceae_A	C7867-006	C7867-006 sp000996025
0.0536453413241081	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales_877923	Flavobacteriaceae	Flavobacterium	Flavobacterium dinanensis
0.0470006145564308	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaera	Pedosphaera parvula
0.0583390020222396	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales_616009	Xanthomonadaceae_616009		Pseudomonas boreopolis
0.0425290440575112	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingomonas corticis
0.0193431583649066	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775
0.0270208432202093	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales_592522	Burkholderiaceae_A_592522	Limnohabitans_A	Limnohabitans_A sp001412575
0.0347987207074977	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales_597441	Methylophilaceae	Methylobacillus	Methylobacillus flagellatus
0.0196144739162066	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales_660879	Moraxellaceae	Agitococcus	Agitococcus lubricus
0.0204009000725358	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Ruminococcaceae	Anaerotruncus	Anaerotruncus colihominis
0.0183736626637852	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	EW11	EW11 sp003054665
0.0277201551001138	Bacteria	Myxococcota_A_473307	Polyangia_463783	Palsa-1104_A	Fen-1088	Fen-1137	Fen-1137 sp003142855
0.018235028552157	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides_B_862066	Parabacteroides_B_862066 acidifaciens
0.0219564387352344	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	AC-16	AC-16 sp005884575
0.0282833020228301	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_A_504705	Beijerinckiaceae	Methylobacterium	Methylobacterium sp001424705
0.0273398870585732	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae_966727	Chitinophaga	Chitinophaga varians
0.0187787594746317	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_A_501396	Rhizobiaceae_A_499470	Mesorhizobium_F_498388	Mesorhizobium_F_498388 terrae
0.0273972780878675	Bacteria	Actinobacteriota	Actinomycetia	Sporichthyales	Sporichthyaceae	Longivirga	Longivirga aurantiaca
0.0225805396063092	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Symphyonemataceae_23354	Loriellopsis	Loriellopsis cavernicola
0.0239639353000422	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	UBA10450	Palsa-1392	Palsa-1392 sp003169975
