0.025588039429065	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales_877923	Weeksellaceae	Apibacter	Apibacter mensalis
0.0479089676166885	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus bombicola
0.0796843748958617	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales_597441	Neisseriaceae_563222	Snodgrassella	Snodgrassella alvi
0.0484846416035084	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus panisapium
0.0626622178419425	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Enterobacteriaceae_A	Gilliamella	Gilliamella intestini
0.0416178155196876	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_H_360604	Enterococcus_H_360604 faecalis
0.0637746069932307	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Enterobacteriaceae_A	Gilliamella	Gilliamella bombi
0.0292453335928097	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium_387352	Bifidobacterium coagulans
0.022152946159548	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Lactobacillaceae	Bombilactobacillus	Bombilactobacillus bombi
0.0458263327968048	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Lactobacillaceae	Fructobacillus	Fructobacillus fructosus
0.0393734923138416	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Lactobacillaceae	Secundilactobacillus	Secundilactobacillus kimchicus
0.0618905310389682	Bacteria	Firmicutes_D	Bacilli	Bacillales_A	Planococcaceae	Psychrobacillus	Psychrobacillus vulpis
0.057111262243796	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Enterobacteriaceae_A	Gilliamella	Gilliamella apicola_G
0.0481518906002741	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Enterobacteriaceae_A	Gilliamella	Gilliamella apicola_H
0.0454244517398353	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Enterobacteriaceae_A	Schmidhempelia	Schmidhempelia bombi
0.0371772061229135	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus manihotivorans
0.0250097254925172	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium_387352	Bifidobacterium actinocoloniiforme
0.0464354093096673	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Enterobacteriaceae_A		
0.0437758998527226	Bacteria	Firmicutes_D	Bacilli	Bacillales_B_302584	DSM-1321_301386	Peribacillus_301373	Peribacillus frigoritolerans
0.0400217088733715	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium_388775	Bifidobacterium bombi
0.0533921051581994	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Enterobacteriaceae_A	Gilliamella	Gilliamella mensalis
0.0352910408047452	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775
