0.0174215695935582	Bacteria	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	51-20	51-20 sp900542055
0.0125424377572405	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides_H	Bacteroides_H sp010500965
0.0209330282587439	Bacteria	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	FLUQ01	FLUQ01 sp900079685
0.0170647703377585	Bacteria	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Frigididesulfovibrio_A_446422	Frigididesulfovibrio cuneatus
0.0223748433374322	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Geminisphaera	Geminisphaera sp000242935
0.0171722233174023	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus porcinae
0.0096707817760623	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus yichunensis
0.0199676815572876	Bacteria	Firmicutes_A	Clostridia_258483	Christensenellales	CAG-74	Limiplasma	Limiplasma merdipullorum
0.016530058459891	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales_A_2632	Methanosarcinaceae	Methanimicrococcus	Methanimicrococcus blatticola
0.0157864129712789	Archaea	Thermoplasmatota	Thermoplasmata_1773	Methanomassiliicoccales	Methanomethylophilaceae	Methanoplasma	Methanoplasma sp009777615
0.0173991503871058	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	OLB9	OLB9 sp001567255
0.0147419718307481	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	Paramuribaculum sp900551515
0.0188748908882973	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Lactobacillaceae	Paucilactobacillus	Paucilactobacillus suebicus
0.0161523173148244	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Lactobacillaceae	Paucilactobacillus	Paucilactobacillus vaccinostercus
0.0210336678005817	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	QVMH01	QVMH01 sp010501035
0.0227305784173626	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Acutalibacteraceae	RUG592	RUG592 sp902763835
0.0159936441981341	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Raoultibacter	Raoultibacter sp009782605
0.0224783838396157	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	CAG-382	SFLA01	SFLA01 sp004553575
0.0213164812963552	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Lactobacillaceae	Secundilactobacillus	Secundilactobacillus kimchicus
0.0180603542294587	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Syner-03	Syner-03 sp002839185
0.0223206420039634	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	Tannerella forsythia
0.0149248045407915	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA11471	UBA11471	UBA11471 sp000434215
0.0195414404689798	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	UBA1258	UBA1258 sp900100895
0.0209921623538425	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Oscillospiraceae_88309	UBA2658	UBA2658 sp009929315
0.0191345446694798	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	UBA644	UBA644	UBA644 sp002299265
0.0230612320289553	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Acutalibacteraceae	UBA737	UBA737 sp900547445
0.0163061089004395	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	UBA8131	WQXH01	WQXH01 sp009784425
0.0180012808373203	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	WRLA01	WRLA01	WRLA01 sp009777825
0.0227574403568126	Bacteria	Desulfobacterota_I	Desulfarculia_446701	Adiutricales	Adiutricaceae	Adiutrix	Adiutrix intracellularis
0.008837179481358	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila_D_776658
0.0199906950758492	Bacteria	Synergistota	Synergistia	Synergistales	Aminobacteriaceae	CAJPSE01	CAJPSE01 sp003860125
0.0173633092269489	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp902785575
0.0104807729788648	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Neoscardovia	Neoscardovia arbecensis
0.0051658382927563	Bacteria	Firmicutes_A	Clostridia_258483	Christensenellales	CAG-74	Onthenecus	Onthenecus sp900199405
0.0122895725097618	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium_A	Phascolarctobacterium_A faecium
0.0095893279417119	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Enterobacteriaceae_A	Pseudocitrobacter	Pseudocitrobacter vendiensis
0.0198468660538761	Bacteria	Spirochaetota	UBA4802	UBA4802	UBA5550	RBG-16-49-21	RBG-16-49-21 sp001829495
