0.0276722588106487	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila_D_776658
0.0293086761139965	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A_871400	Alistipes_A_871400 excrementavium
0.0110709096841323	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales_877923	Weeksellaceae	Apibacter	Apibacter raozihei
0.0232359273289995	Bacteria	Firmicutes_A	Clostridia_258483	Peptostreptococcales	Anaerovoracaceae	Bacilliculturomica	Bacilliculturomica massiliensis
0.0285926248225693	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides_H	Bacteroides_H faecichinchillae
0.0324854022891429	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides_H	Bacteroides_H sp010500965
0.0217050573178342	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides_H	Bacteroides_H sp010501015
0.0151423367087093	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	CACXMZ01	CACXMZ01 sp902768975
0.0176799210549473	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Enterobacteriaceae_A	Citrobacter_A_692098	Citrobacter_A_692098 amalonaticus
0.0234751306640344	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas sp010501095
0.0155666875136566	Bacteria	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	FLUQ01	FLUQ01 sp900079685
0.0230678836086781	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Gallalistipes	Gallalistipes aquisgranensis
0.0153394648894342	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus_A_343473	Lactococcus_A_343473 petauri
0.0148578316000584	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Listeriaceae	Listeria_A	Listeria_A kieliensis_A
0.020029063276825	Bacteria	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Mailhella	Mailhella massiliensis
0.0251149824047079	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	Merdisoma	Merdisoma sp011959465
0.0270504842789025	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	Paramuribaculum sp900551515
0.0164696597754333	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium_A	Phascolarctobacterium_A sp900545025
0.0282398514957196	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Proteiniphilum	Proteiniphilum sp002410345
0.022213852454206	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Ruminococcaceae	Ruminiclostridium_E	Ruminiclostridium_E sp009782265
0.026574196420429	Bacteria	Firmicutes_D	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus gallinarum
0.0283986629765581	Bacteria	Firmicutes_D	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus saprophyticus
0.0166081148016017	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_A	Enterococcus_A gilvus
0.0242763378763785	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_H_360604	Enterococcus_H_360604 sp002140975
0.0376311181737511	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales_993521	Fusobacteriaceae_993521	Fusobacterium_A	Fusobacterium_A ulcerans
0.0391817161291501	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales_993521	Fusobacteriaceae_993521	Fusobacterium_A	Fusobacterium_A varium
0.0147407573009126	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales_592524	Burkholderiaceae_A_574938	Oxalobacter_566323	Oxalobacter vibrioformis
0.0126613621861348	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus furfuricola
0.0181184799367342	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_H_360604	Enterococcus_H_360604 faecalis
0.0128832074647761	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus brevis
0.02146866631617	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Enterobacteriaceae_A	Morganella	Morganella psychrotolerans
0.0178133333420148	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus_A_343473	Lactococcus_A_343473 garvieae_343444
0.0181972498026016	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas gadei
0.0299511436657107	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Enterobacteriaceae_A	Enterobacter_B_683926	Enterobacter_B_683926 cloacae_683923
0.0258549449560586	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775
0.0183127684349162	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Marseille-P3160	Marseille-P3160 sp900162725
0.0273482573930186	Bacteria	Firmicutes_D	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Breznakia	Breznakia pachnodae
0.0303050276060494	Bacteria	Firmicutes_A	Clostridia_258483	TANB77	CAG-508	CAG-269	CAG-269 sp000431335
0.0272800122589744	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium glyciniphilum
0.029408243337992	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0.0137370947356922	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Raoultibacter	Raoultibacter sp009782605
0.0203222433430777	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Acutalibacteraceae	DTU089	DTU089 sp002069015
0.0227355490268898	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA11471	UBA11471	UBA11471 sp000434215
0.0278735064217695	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Oscillospiraceae_88309	Marseille-P3106	Marseille-P3106 sp900169975
