0.0034788230120418	Bacteria	Nitrospirota_A_437815	Nitrospiria	Nitrospirales	Nitrospiraceae	40CM-3-62-11	40CM-3-62-11 sp001914955
0.0041560855478002	Bacteria	Dormibacterota	Dormibacteria	Dormibacterales	Dormibacteraceae	40CM-4-65-16	40CM-4-65-16 sp005882135
0.0031576703761353	Bacteria	Actinobacteriota	Acidimicrobiia_401430	Acidimicrobiales	AC-14	AC-14	AC-14 sp005888325
0.0037894120819449	Bacteria	Actinobacteriota	Acidimicrobiia_401430	Acidimicrobiales	Acidimicrobiaceae_401171	Acidiferrimicrobium	Acidiferrimicrobium australe
0.0025926423969458	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila_D_776786
0.0028152227109211	Bacteria	Bdellovibrionota_E	Bdellovibrionia_A_473294	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Bdellovibrio bacteriovorus_E
0.0035031638026952	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bog-159	Bog-159 sp003166475
0.0025522804769944	Bacteria	Actinobacteriota	Actinomycetia	Streptosporangiales	Streptosporangiaceae	Bog-532	Bog-532 sp003164955
0.0038014202251172	Bacteria	Firmicutes_A	Clostridia_258483	UBA1381	UBA1381	CAG-41	CAG-41 sp001941225
0.0011461555090873	Bacteria	Dormibacterota	Dormibacteria	Dormibacterales	Dormibacteraceae	CF-28	CF-28 sp005881825
0.0047893697434069	Bacteria	Dormibacterota	Dormibacteria	UBA8260	UBA8260	CF-96	CF-96 sp005889515
0.0027955069022979	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter_487856	Caulobacter daechungensis
0.0024563560734257	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales_993521	Fusobacteriaceae_993521	Cetobacterium_A	Cetobacterium_A somerae
0.0043657216558152	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	Chthonomonas calidirosea
0.0007508857400913	Bacteria	Firmicutes_A	Clostridia_258483	Clostridiales	Clostridiaceae_222000	Clostridium_S_221419	Clostridium_S_221419 acetobutylicum
