Percentage	Kraken_Name	DB_ID	Order	Insect_Species	Symbiont_Genus	Symbiont_Species	Function	Species_Match	Order_Match	Insect_Match	Total_Score
22.55	Escherichia	RISB0128	Coleoptera	Tribolium castaneum	Escherichia	Escherichia coli	may produce 4,8-dimethyldecanal (DMD) production that is strongly associated with attraction to females and host pheromone communication	False	True	True	55.269999999999996
31.31	Buchnera aphidicola	RISB0236	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	Buchnera the nutritional endosymbiont of A. pisum is located inside of bacteriocytes and requires aspartate from the aphid host, because it cannot make it de novo. Further Buchnera needs aspartate for the biosynthesis of the essential amino acids lysine and threonine, which the aphid and Buchnera require for survival	True	False	False	41.31
31.31	Buchnera aphidicola	RISB2485	Hemiptera	Macrosiphum euphorbiae	Buchnera	Buchnera aphidicola	symbiont expression patterns differ between aphid clones with differing levels of virulence, and are influenced by the aphids' host plant. Potentially, symbionts may contribute to differential adaptation of aphids to host plant resistance	True	False	False	41.07
31.31	Buchnera aphidicola	RISB0685	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	It supplies the host with vitamins and essential amino acids, such as arginine and methionine that aphids cannot synthesize or derive insufficiently from their diet, the phloem sap of plants	True	False	False	40.11
31.31	Buchnera aphidicola	RISB0462	Hemiptera	Sitobion miscanthi	Buchnera	Buchnera aphidicola	B. aphidicola derive a proteins GroES induced hydrogen peroxide accumulation and callose deposition in wheat and further activated the plant salic acid and jasmonic acid defense pathways	True	False	False	40.03
31.31	Buchnera aphidicola	RISB1301	Hemiptera	Aphis gossypii	Buchnera	Buchnera aphidicola	aphids are dependent on this microorganism for the production of the essential amino acids, vitamins and sterols that are necessary for their normal development and reproduction	True	False	False	39.85
31.31	Buchnera aphidicola	RISB1302	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidicola	aphids are dependent on this microorganism for the production of the essential amino acids, vitamins and sterols that are necessary for their normal development and reproduction	True	False	False	39.85
31.31	Buchnera aphidicola	RISB1039	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	metabolic constraints or antisense transcripts may reduce Buchnera-mediated production of pantothenate, resulting in poor aphid performance on pantothenate-free diets	True	False	False	39.63
31.31	Buchnera aphidicola	RISB2453	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	Purine metabolism genes in the symbiotic bacterium Buchnera complement aphid genes, and Buchnera can meet its nucleotide requirement from aphid-derived guanosine	True	False	False	39.53
31.31	Buchnera aphidicola	RISB2569	Hemiptera	Baizongia pistaciae	Buchnera	Buchnera aphidicola	support the exploitation of the poor diet of plant-phloem sap by aphids through supplementation of deficient nutrients, primarily essential amino acids	True	False	False	39.33
31.31	Buchnera aphidicola	RISB0778	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidicola	aphid endosymbiont Buchnera aphidicola can facilitate cucumber mosaic virus (CMV) transmission by modulating plant volatile profiles	True	False	False	38.95
31.31	Buchnera aphidicola	RISB1686	Hemiptera	Lachninae	Buchnera	Buchnera aphidicola	Buchnera supplies essential nutrients to its hosts for normal development and is the obligate symbiont in nearly all aphid species	True	False	False	38.91
31.31	Buchnera aphidicola	RISB1650	Hemiptera	Cinara cedri	Buchnera	Buchnera aphidicola BCc	provides essential amino acids, coenzymes, and vitamins to enable it to adapt to a plant-based juice-based lifestyle	True	False	False	38.63
31.31	Buchnera aphidicola	RISB2365	Hemiptera	Cinara tujafilina	Buchnera	Buchnera aphidicola	the subfamily Lachninae harbors two coprimary bacteria that fulfill the metabolic needs of the whole consortium	True	False	False	38.53
31.31	Buchnera aphidicola	RISB1159	Hemiptera	Aphis gossypii	Buchnera	Buchnera aphidicola	increased density of endosymbiotic Buchnera related to pesticide resistance in yellow morph of melon aphid	True	False	False	38.43
31.31	Buchnera aphidicola	RISB0719	Hemiptera	Sipha maydis	Buchnera	Buchnera aphidicola	producing of certain B vitamins (in particular biotin/B7 and riboflavin/B2) and essential amino acids	True	False	False	38.33
31.31	Buchnera aphidicola	RISB0721	Hemiptera	Periphyllus lyropictus	Buchnera	Buchnera aphidicola	producing of certain B vitamins (in particular biotin/B7 and riboflavin/B4) and essential amino acids	True	False	False	38.33
31.31	Buchnera aphidicola	RISB1486	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	in senescent bacteriocytes, the endosymbionts are degraded through a lysosomal-dependent mechanism	True	False	False	38.27
31.31	Buchnera aphidicola	RISB2454	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	the pea aphid lacks the capacity to synthesize arginine, which is produced by Buchnera APS	True	False	False	38.11
31.31	Buchnera aphidicola	RISB1951	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidicola	B. aphidicola disruption down-regulated the expression of the Mp63 salivary protein gene	True	False	False	38.07
31.31	Buchnera aphidicola	RISB1519	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	involved in the biosynthesis of more than 10 essential amino acids	True	False	False	37.63
31.31	Buchnera aphidicola	RISB0335	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	can synthesize and provide some essential nutrients for its host	True	False	False	37.59
31.31	Buchnera aphidicola	RISB1448	Hemiptera	Cinara strobi	Buchnera	Buchnera aphidicola	contribute to the hosts’ supply of essential nutrients	True	False	False	37.39
31.31	Buchnera aphidicola	RISB2615	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	Synthetic Essential amino acid tryptophan	True	False	False	37.13
31.31	Buchnera aphidicola	RISB2081	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	producing essential amino acids (EAAs)	True	False	False	37.07
31.31	Buchnera aphidicola	RISB0702	Hemiptera	Aphis craccivora	Buchnera	Buchnera aphidicola	obligatory nutritional symbiont	True	False	False	36.93
31.31	Buchnera aphidicola	RISB1389	Hemiptera	Aphis gossypii	Buchnera	Buchnera aphidicola	nutrient-provisioning	True	False	False	36.73
31.31	Buchnera aphidicola	RISB1390	Hemiptera	Aphis fabae	Buchnera	Buchnera aphidicola	nutrient-provisioning	True	False	False	36.73
31.31	Buchnera aphidicola	RISB2064	Hemiptera	Sitobion miscanthi	Buchnera	Buchnera aphidicola	obligate symbiont	True	False	False	36.65
31.31	Buchnera aphidicola	RISB2519	Hemiptera	Aphis glycines	Buchnera	Buchnera aphidicola	obligate symbiont	True	False	False	36.65
31.31	Buchnera aphidicola	RISB0051	Diptera	Episyrphus balteatus	Buchnera	Buchnera aphidicola	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB0105	Hemiptera	Diuraphis noxia	Buchnera	Buchnera aphidicola	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB0235	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidicola	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB0290	Lepidoptera	Helicoverpa armigera	Buchnera	Buchnera aphidicola	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB0411	Hemiptera	Melanaphis sacchari	Buchnera	Buchnera aphidicola	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB0651	Hemiptera	Melanaphis bambusae	Buchnera	Buchnera aphidicola	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB1114	Hemiptera	Pentalonia nigronervosa	Buchnera	Buchnera aphidicola	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB1212	Hemiptera	Cinara cuneomaculata	Buchnera	Buchnera aphidicola	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB1626	Hemiptera	Lachninae	Buchnera	Buchnera aphidicola	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB1627	Hemiptera	Lachninae	Buchnera	Buchnera aphidicola	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB1628	Hemiptera	Lachninae	Buchnera	Buchnera aphidicola	None	True	False	False	36.31
