Percentage	Kraken_Name	DB_ID	Order	Insect_Species	Symbiont_Genus	Symbiont_Species	Function	Species_Match	Order_Match	Insect_Match	Total_Score
0.18	Streptomyces sp. NBC_00162	RISB0777	Coleoptera	Copris tripartitus	Streptomyces	Streptomyces sp. AT67	contribute brood ball hygiene by inhibiting fungal parasites in the environment	True	True	False	16.759999999999998
0.67	Bacillus cereus	RISB1056	Coleoptera	Oryctes rhinoceros	Bacillus	Bacillus cereus ATCC 14579	provide symbiotic digestive functions to Oryctes	True	True	False	16.63
0.67	Bacillus cereus	RISB1778	Coleoptera	Lissorhoptrus oryzophilus	Bacillus	Bacillus cereus	might be promising paratransgenesis candidates	True	True	False	16.59
0.67	Bacillus cereus	RISB2161	Blattodea	Termitidae	Bacillus	Bacillus cereus TAUC5	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	True	False	False	10.67
0.67	Bacillus cereus	RISB2162	Blattodea	Termitidae	Bacillus	Bacillus cereus F837/76	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	True	False	False	10.67
0.67	Bacillus cereus	RISB2489	Lepidoptera	Anticarsia gemmatalis	Bacillus	Bacillus cereus	allow the adaptation of this insect to plants rich in protease inhibitors, minimizing the potentially harmful consequences of protease inhibitors from some of this insect host plants, such as soybean	True	False	False	9.65
0.18	Streptomyces sp. NBC_00162	RISB0943	Hymenoptera	Polybia plebeja	Streptomyces	Streptomyces sp. M54	this bacterium produces antimicrobial compounds that are active against Hirsutella citriformis, a natural fungal enemy of its host, and the human pathogens Staphylococcus aureus and Candida albicans	True	False	False	9.14
0.18	Streptomyces sp. NBC_00162	RISB2334	Hymenoptera	Sirex noctilio	Streptomyces	Streptomyces sp. SA3_actG	degrading woody substrates and that such degradation may assist in nutrient acquisition by S. noctilio, thus contributing to its ability to be established in forested habitats worldwide	True	False	False	8.88
0.18	Streptomyces sp. NBC_00162	RISB2335	Hymenoptera	Sirex noctilio	Streptomyces	Streptomyces sp. SA3_actF	degrading woody substrates and that such degradation may assist in nutrient acquisition by S. noctilio, thus contributing to its ability to be established in forested habitats worldwide	True	False	False	8.88
0.18	Streptomyces sp. NBC_00162	RISB2336	Hymenoptera	Sirex noctilio	Streptomyces	Streptomyces sp. ACTE	degrading woody substrates and that such degradation may assist in nutrient acquisition by S. noctilio, thus contributing to its ability to be established in forested habitats worldwide	True	False	False	8.88
0.18	Streptomyces sp. NBC_00162	RISB1134	Hymenoptera	mud dauber wasp	Streptomyces	Streptomyces sp.	secondary metabolites derived from a Streptomyces sp. displayed significant inhibitory activity against hexokinase II	True	False	False	7.52
0.67	Bacillus cereus	RISB2237	Lepidoptera	Anticarsia gemmatalis	Bacillus	Bacillus cereus	mitigation of the negative effects of proteinase inhibitors produced by the host plant	True	False	False	7.39
0.67	Bacillus cereus	RISB1822	Lepidoptera	Plutella xylostella	Bacillus	Bacillus cereus	degradation of acephate, used acephate as a source of carbon and energy for growth	True	False	False	7.31
0.67	Bacillus cereus	RISB2491	Lepidoptera	Anticarsia gemmatalis	Bacillus	Bacillus cereus	protein hydrolase activity for proteases, serine proteases, and cysteine proteases	True	False	False	7.31
0.67	Bacillus cereus	RISB1826	Lepidoptera	Plutella xylostella	Bacillus	Bacillus cereus	degradation of indoxacarb,  it could use indoxacarb for metabolism and growth	True	False	False	7.21
0.18	Streptomyces sp. NBC_00162	RISB2327	Hymenoptera	Acromyrmex octospinosus	Streptomyces	Streptomyces sp.	symbiont makes multiple antifungals, including Antimycins A1–A4, which support the fungus farming	True	False	False	7.12
0.18	Streptomyces sp. NBC_00162	RISB1391	Hymenoptera	Tetragonisca angustula	Streptomyces	Streptomyces sp.	producing antibiotic, exhibit antimicrobial activity, mainly to Gram-positive bacteria and fungi	True	False	False	7.1
0.67	Bacillus cereus	RISB2239	Lepidoptera	Anticarsia gemmatalis	Bacillus	Bacillus cereus	Against plant-derived protease inhibitor; pest control	True	False	False	6.75
0.67	Bacillus cereus	RISB0019	Lepidoptera	Scirpophaga incertulas	Bacillus	Bacillus cereus strain NRYSBBC-1	degrade Chlorpyrifos and Chlorantraniliprole in vitro	True	False	False	6.73
0.67	Bacillus cereus	RISB2238	Lepidoptera	Anticarsia gemmatalis	Bacillus	Bacillus cereus	process serine- and cysteine-proteinase activities	True	False	False	6.67
0.67	Bacillus cereus	RISB1415	Blattodea	Psammotermes hypostoma	Bacillus	Bacillus cereus	isolates showed significant cellulolytic activity	True	False	False	6.65
0.67	Bacillus cereus	RISB1872	Diptera	Aedes aegypti	Bacillus	Bacillus cereus	gut microbiome	True	False	False	5.95
0.67	Bacillus cereus	RISB1701	Diptera	Phlebotomus papatasi	Bacillus	Bacillus cereus	None	True	False	False	5.67
0.51	Vagococcus	RISB0042	Diptera	Aldrichina grahami	Vagococcus	Vagococcus	None	False	False	False	0.51
