Percentage	Kraken_Name	DB_ID	Order	Insect_Species	Symbiont_Genus	Symbiont_Species	Function	Species_Match	Order_Match	Insect_Match	Total_Score
31.31	Buchnera aphidicola	RISB0290	Lepidoptera	Helicoverpa armigera	Buchnera	Buchnera aphidicola	None	True	True	False	46.31
31.31	Buchnera aphidicola	RISB0236	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	Buchnera the nutritional endosymbiont of A. pisum is located inside of bacteriocytes and requires aspartate from the aphid host, because it cannot make it de novo. Further Buchnera needs aspartate for the biosynthesis of the essential amino acids lysine and threonine, which the aphid and Buchnera require for survival	True	False	False	41.31
31.31	Buchnera aphidicola	RISB2485	Hemiptera	Macrosiphum euphorbiae	Buchnera	Buchnera aphidicola	symbiont expression patterns differ between aphid clones with differing levels of virulence, and are influenced by the aphids' host plant. Potentially, symbionts may contribute to differential adaptation of aphids to host plant resistance	True	False	False	41.07
0.94	Proteus vulgaris	RISB2460	Lepidoptera	Bombyx mori	Proteus	Proteus vulgaris	degradation of cellulose, xylan, pectin and starch	True	True	True	36.94
22.55	Escherichia	RISB1339	Lepidoptera	Manduca sexta	Escherichia	Escherichia coli	modulate immunity-related gene expression in the infected F0 larvae, and also in their offspring, triggered immune responses in the infected host associated with shifts in both DNA methylation and histone acetylation	False	True	False	36.870000000000005
0.45	Klebsiella pneumoniae	RISB2459	Lepidoptera	Bombyx mori	Klebsiella	Klebsiella pneumoniae	degradation of cellulose, xylan, pectin and starch	True	True	True	36.45
22.55	Escherichia	RISB2120	Lepidoptera	Galleria mellonella	Escherichia	Escherichia coli	mediate trans-generational immune priming	False	True	False	33.370000000000005
22.55	Escherichia	RISB0128	Coleoptera	Tribolium castaneum	Escherichia	Escherichia coli	may produce 4,8-dimethyldecanal (DMD) production that is strongly associated with attraction to females and host pheromone communication	False	False	False	25.27
0.45	Klebsiella pneumoniae	RISB2185	Lepidoptera	Scirpophaga incertulas	Klebsiella	Klebsiella pneumoniae L-13	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	True	True	False	20.45
0.67	Bacillus cereus	RISB2489	Lepidoptera	Anticarsia gemmatalis	Bacillus	Bacillus cereus	allow the adaptation of this insect to plants rich in protease inhibitors, minimizing the potentially harmful consequences of protease inhibitors from some of this insect host plants, such as soybean	True	True	False	19.65
0.67	Bacillus cereus	RISB2237	Lepidoptera	Anticarsia gemmatalis	Bacillus	Bacillus cereus	mitigation of the negative effects of proteinase inhibitors produced by the host plant	True	True	False	17.39
0.67	Bacillus cereus	RISB1822	Lepidoptera	Plutella xylostella	Bacillus	Bacillus cereus	degradation of acephate, used acephate as a source of carbon and energy for growth	True	True	False	17.31
0.23	Pantoea dispersa	RISB0182	Lepidoptera	Spodoptera frugiperda	Pantoea	Pantoea dispersa	detoxify benzoxazinoids (secondary metabolites produced by maize) and promote caterpillar growth	True	True	False	17.15
0.45	Klebsiella pneumoniae	RISB1994	Lepidoptera	Diatraea saccharalis	Klebsiella	Klebsiella pneumoniae	possess cellulose degrading activity	True	True	False	16.17
0.79	Wolbachia	RISB0263	Lepidoptera	Homona magnanima	Wolbachia	Wolbachia	To achieve Male killing (MK), Wolbachia impaired the host dosage compensation system and triggered abnormal apoptosis in male embryos.Also, disrupted the sex-determination cascade of males by inducing female-type splice variants of doublesex (dsx), a downstream regulator of the sex-determining gene cascade.	False	True	False	15.79
0.79	Wolbachia	RISB2547	Lepidoptera	Eurema hecabe	Wolbachia	Wolbachia	the butterfly Eurema hecabe is infected with two different strains (wHecCI2 and wHecFem2) of the bacterial endosymbiont Wolbachia, genetic males are transformed into functional females, resulting in production of all-female broods.	False	True	False	15.41
0.23	Arsenophonus sp. aPb	RISB0367	Lepidoptera	Polyommatus bellargus	Arsenophonus	Arsenophonus sp.	None	True	True	False	15.23
0.79	Wolbachia	RISB2473	Lepidoptera	Phyllonorycter blancardella	Wolbachia	Wolbachia	P. blancardella relies on bacterial endosymbionts (possibly Wolbachia) to manipulate the physiology of its host plant, resulting in the green-island phenotype	False	True	False	13.95
1.47	Clostridium	RISB0028	Lepidoptera	Sesamia inferens	Paraclostridium	Paraclostridium sp. strain NRPSBPS-1	degrade Chlorpyrifos and Chlorantraniliprole in vitro	False	True	False	12.53
