Percentage	Kraken_Name	DB_ID	Order	Insect_Species	Symbiont_Genus	Symbiont_Species	Function	Species_Match	Order_Match	Insect_Match	Total_Score
1.29202	Pseudomonas	RISB0088	Lepidoptera	Bombyx mori	Pseudomonas	Pseudomonas fulva ZJU1	Pseudomonas fulva ZJU1 can degrade and utilize the mulberry-derived secondary metabolite, 1-deoxynojirimycin (DNJ) as the sole energy source, and after inoculation into nonspecialists, P. fulva ZJU1 increased host resistance to DNJ and significantly promoted growth	False	True	True	36.29
0.00809	Staphylococcus	RISB1545	Lepidoptera	Bombyx mori	Staphylococcus	Staphylococcus gallinarum KX912244	Staphyloxanthin pigment from gut symbiont presented considerable biological properties including in vitro antimicrobial activity against pathogens Staphylococcus aureus, Escherichia coli and Candida albicans; in vitro antioxidant activity by % DPPH free radical scavenging activity	False	True	True	35.01
0.18694	Klebsiella	RISB2459	Lepidoptera	Bombyx mori	Klebsiella	Klebsiella pneumoniae	degradation of cellulose, xylan, pectin and starch	False	True	True	31.189999999999998
0.18694	Klebsiella	RISB2361	Lepidoptera	Bombyx mori	Klebsiella	Klebsiella	producing lipase in a  gut environment	False	True	True	30.95
0.00809	Staphylococcus	RISB2362	Lepidoptera	Bombyx mori	Staphylococcus	Staphylococcus	producing lipase in a  gut environment	False	True	True	30.77
17.38693	Gilliamella apicola	RISB0102	Hymenoptera	Apis mellifera	Gilliamella	Gilliamella apicola	Gilliamella apicola carries the gene for the desaturase FADS2, which is able to metabolize polyunsaturated fatty acids from pollen and synthesize endocannabinoid, a lipogenic neuroactive substance, thereby modulating reward learning and memory in honeybees.	True	False	False	27.39
17.38693	Gilliamella apicola	RISB0176	Hymenoptera	Apis mellifera	Gilliamella	Gilliamella apicola	Bifidobacterium provides complementary demethylation service to promote Gilliamella growth on methylated homogalacturonan, an enriched polysaccharide of pectin. In exchange, Gilliamella shares digestive products with Bifidobacterium, through which a positive interaction is established	True	False	False	27.39
17.38693	Gilliamella apicola	RISB0177	Hymenoptera	Apis cerana	Gilliamella	Gilliamella apicola	Bifidobacterium provides complementary demethylation service to promote Gilliamella growth on methylated homogalacturonan, an enriched polysaccharide of pectin. In exchange, Gilliamella shares digestive products with Bifidobacterium, through which a positive interaction is established	True	False	False	27.39
16.99456	Snodgrassella alvi	RISB1423	Hymenoptera	Bombus spp.	Snodgrassella	Snodgrassella alvi	The bumble bee microbiome slightly increases survivorship when the host is exposed to selenate	True	False	False	23.87
16.99456	Snodgrassella alvi	RISB1423	Hymenoptera	Bombus spp.	Snodgrassella	Snodgrassella alvi	The bumble bee microbiome slightly increases survivorship when the host is exposed to selenate	True	False	False	23.87
