Percentage	Kraken_Name	DB_ID	Order	Insect_Species	Symbiont_Genus	Symbiont_Species	Function	Species_Match	Order_Match	Insect_Match	Total_Score
1.29202	Pseudomonas	RISB0088	Lepidoptera	Bombyx mori	Pseudomonas	Pseudomonas fulva ZJU1	Pseudomonas fulva ZJU1 can degrade and utilize the mulberry-derived secondary metabolite, 1-deoxynojirimycin (DNJ) as the sole energy source, and after inoculation into nonspecialists, P. fulva ZJU1 increased host resistance to DNJ and significantly promoted growth	False	True	True	36.29
0.00809	Staphylococcus	RISB1545	Lepidoptera	Bombyx mori	Staphylococcus	Staphylococcus gallinarum KX912244	Staphyloxanthin pigment from gut symbiont presented considerable biological properties including in vitro antimicrobial activity against pathogens Staphylococcus aureus, Escherichia coli and Candida albicans; in vitro antioxidant activity by % DPPH free radical scavenging activity	False	True	True	35.01
0.18694	Klebsiella	RISB2459	Lepidoptera	Bombyx mori	Klebsiella	Klebsiella pneumoniae	degradation of cellulose, xylan, pectin and starch	False	True	True	31.189999999999998
0.18694	Klebsiella	RISB2361	Lepidoptera	Bombyx mori	Klebsiella	Klebsiella	producing lipase in a  gut environment	False	True	True	30.95
0.00809	Staphylococcus	RISB2362	Lepidoptera	Bombyx mori	Staphylococcus	Staphylococcus	producing lipase in a  gut environment	False	True	True	30.77
17.38693	Gilliamella apicola	RISB0102	Hymenoptera	Apis mellifera	Gilliamella	Gilliamella apicola	Gilliamella apicola carries the gene for the desaturase FADS2, which is able to metabolize polyunsaturated fatty acids from pollen and synthesize endocannabinoid, a lipogenic neuroactive substance, thereby modulating reward learning and memory in honeybees.	True	False	False	27.39
16.99456	Snodgrassella alvi	RISB1423	Hymenoptera	Bombus spp.	Snodgrassella	Snodgrassella alvi	The bumble bee microbiome slightly increases survivorship when the host is exposed to selenate	True	False	False	23.87
17.38693	Gilliamella apicola	RISB1945	Hymenoptera	Apis cerana	Gilliamella	Gilliamella apicola	None	True	False	False	22.39
16.99456	Snodgrassella alvi	RISB1947	Hymenoptera	Apis cerana	Snodgrassella	Snodgrassella alvi	None	True	False	False	21.99
0.02387	Bifidobacterium asteroides	RISB0616	Lepidoptera	Spodoptera frugiperda	Bifidobacterium	Bifidobacterium asteroides strain wkB2None4	Strain wkB204 grew in the presence of amygdalin as the sole carbon source, suggesting that this strain degrades amygdalin and is not susceptible to the potential byproducts	True	True	False	18.46
