Percentage	Kraken_Name	DB_ID	Order	Insect_Species	Symbiont_Genus	Symbiont_Species	Function	Species_Match	Order_Match	Insect_Match	Total_Score
31.31	Buchnera aphidicola	RISB0236	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	Buchnera the nutritional endosymbiont of A. pisum is located inside of bacteriocytes and requires aspartate from the aphid host, because it cannot make it de novo. Further Buchnera needs aspartate for the biosynthesis of the essential amino acids lysine and threonine, which the aphid and Buchnera require for survival	True	False	False	41.31
31.31	Buchnera aphidicola	RISB2485	Hemiptera	Macrosiphum euphorbiae	Buchnera	Buchnera aphidicola	symbiont expression patterns differ between aphid clones with differing levels of virulence, and are influenced by the aphids' host plant. Potentially, symbionts may contribute to differential adaptation of aphids to host plant resistance	True	False	False	41.07
31.31	Buchnera aphidicola	RISB0685	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	It supplies the host with vitamins and essential amino acids, such as arginine and methionine that aphids cannot synthesize or derive insufficiently from their diet, the phloem sap of plants	True	False	False	40.11
31.31	Buchnera aphidicola	RISB0462	Hemiptera	Sitobion miscanthi	Buchnera	Buchnera aphidicola	B. aphidicola derive a proteins GroES induced hydrogen peroxide accumulation and callose deposition in wheat and further activated the plant salic acid and jasmonic acid defense pathways	True	False	False	40.03
31.31	Buchnera aphidicola	RISB1301	Hemiptera	Aphis gossypii	Buchnera	Buchnera aphidicola	aphids are dependent on this microorganism for the production of the essential amino acids, vitamins and sterols that are necessary for their normal development and reproduction	True	False	False	39.85
31.31	Buchnera aphidicola	RISB1302	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidicola	aphids are dependent on this microorganism for the production of the essential amino acids, vitamins and sterols that are necessary for their normal development and reproduction	True	False	False	39.85
31.31	Buchnera aphidicola	RISB1039	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	metabolic constraints or antisense transcripts may reduce Buchnera-mediated production of pantothenate, resulting in poor aphid performance on pantothenate-free diets	True	False	False	39.63
31.31	Buchnera aphidicola	RISB2453	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	Purine metabolism genes in the symbiotic bacterium Buchnera complement aphid genes, and Buchnera can meet its nucleotide requirement from aphid-derived guanosine	True	False	False	39.53
31.31	Buchnera aphidicola	RISB2569	Hemiptera	Baizongia pistaciae	Buchnera	Buchnera aphidicola	support the exploitation of the poor diet of plant-phloem sap by aphids through supplementation of deficient nutrients, primarily essential amino acids	True	False	False	39.33
31.31	Buchnera aphidicola	RISB0778	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidicola	aphid endosymbiont Buchnera aphidicola can facilitate cucumber mosaic virus (CMV) transmission by modulating plant volatile profiles	True	False	False	38.95
