Percentage	Kraken_Name	DB_ID	Order	Insect_Species	Symbiont_Genus	Symbiont_Species	Function	Species_Match	Order_Match	Insect_Match	Total_Score
31.31	Buchnera aphidicola	RISB0236	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	Buchnera the nutritional endosymbiont of A. pisum is located inside of bacteriocytes and requires aspartate from the aphid host, because it cannot make it de novo. Further Buchnera needs aspartate for the biosynthesis of the essential amino acids lysine and threonine, which the aphid and Buchnera require for survival	True	False	False	41.31
31.31	Buchnera aphidicola	RISB2485	Hemiptera	Macrosiphum euphorbiae	Buchnera	Buchnera aphidicola	symbiont expression patterns differ between aphid clones with differing levels of virulence, and are influenced by the aphids' host plant. Potentially, symbionts may contribute to differential adaptation of aphids to host plant resistance	True	False	False	41.07
31.31	Buchnera aphidicola	RISB0685	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	It supplies the host with vitamins and essential amino acids, such as arginine and methionine that aphids cannot synthesize or derive insufficiently from their diet, the phloem sap of plants	True	False	False	40.11
0.45	Klebsiella pneumoniae	RISB2459	Lepidoptera	Bombyx mori	Klebsiella	Klebsiella pneumoniae	degradation of cellulose, xylan, pectin and starch	True	False	True	26.45
0.45	Klebsiella pneumoniae	RISB1153	Coleoptera	Tenebrio molitor	Klebsiella	Klebsiella pneumoniae ZM1	degrading plastics	True	True	False	15.809999999999999
0.45	Klebsiella pneumoniae	RISB2185	Lepidoptera	Scirpophaga incertulas	Klebsiella	Klebsiella pneumoniae L-13	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	True	False	False	10.45
0.38	Candidatus Pantoea carbekii	RISB1046	Hemiptera	Halyomorpha halys	Pantoea	Pantoea carbekii	provides its host with essential nutrients, vitamins, cofactors and protection of the most vulnerable stages of early development (1st nymphal stages). Pantoea carbekii is highly stress tolerant, especially once secreted to cover the eggs, by its unique biofilm-formation properties, securing host offspring survival	True	False	False	10.38
0.41	Candidatus Schneideria nysicola	RISB0872	Hemiptera	Nysius sp.	Candidatus Schneideria	Candidatus Schneideria nysicola isolate NB	synthesize four B vitamins(Pan, pantothenate;Fol, folate; Rib, riboflavin; Pyr, pyridoxine) and five Essential Amino Acids(Ile, isoleucine; Val, valine; Lys, lysine; Thr, threonine; Phe, phenylalanine)	True	False	False	9.43
0.35	Candidatus Tachikawaea gelatinosa	RISB2112	Hemiptera	Urostylis westwoodii	Candidatus Tachikawaea	Candidatus Tachikawaea gelatinosa	the symbiont localizes to a specialized midgut region and supplies essential amino acids deficient in the host's diet	True	False	False	7.69
2.16	Candidatus Erwinia haradaeae	RISB1632	Hemiptera	Lachninae	Erwinia	Candidatus Erwinia haradaeae	None	True	False	False	7.16
0.22	Candidatus Ishikawella capsulata	RISB2368	Hemiptera	Megacopta punctatissima	Candidatus Ishikawella	Candidatus Ishikawella capsulata	Microbe compensates for nutritional deficiency of host diet by supplying essential amino acids	True	False	False	7.1
0.38	Candidatus Pantoea carbekii	RISB2115	Hemiptera	Halyomorpha halys	Pantoea	Candidatus Pantoea carbekii	the primary bacterial symbiont of H. halys	True	False	False	6.22
0.22	Candidatus Ishikawella capsulata	RISB2543	Hemiptera	Megacopta punctatissima	Candidatus Ishikawella	Candidatus Ishikawella capsulata	Enhance pest status of the insect host	True	False	False	5.98
0.17	Candidatus Annandia adelgestsuga	RISB2207	Hemiptera	Adelges tsugae	Candidatus Annandia	Candidatus Annandia adelgestsuga	None	True	False	False	5.17
0.85	Candidatus Profftia	RISB1664	Hemiptera	Adelgidae	Candidatus Profftia	Candidatus Profftia spp.	None	False	False	False	0.85
