Percentage	Kraken_Name	DB_ID	Order	Insect_Species	Symbiont_Genus	Symbiont_Species	Function	Species_Match	Order_Match	Insect_Match	Total_Score
41.22	Pantoea ananatis	RISB1671	Lepidoptera	Spodoptera frugiperda	Pantoea	Pantoea ananatis	modulate plant defense, downregulated the activity of the plant defensive proteins polyphenol oxidase and trypsin proteinase inhibitors (trypsin PI) but upregulated peroxidase (POX) activity in tomatoresponses	True	False	False	50.4
41.22	Pantoea ananatis	RISB0515	Hemiptera	Laodelphax striatellus	Pantoea	Pantoea ananatis Lstr	pathogenic to the host insect, raises the possibility of using the Lstr strain as a biological agent	True	False	False	48.22
8.42	Escherichia coli	RISB1769	Diptera	Calliphoridae	Escherichia	Escherichia coli	None	True	True	False	23.42
4.35	Enterococcus faecalis	RISB1411	Diptera	Bactrocera dorsalis	Enterococcus	Enterococcus faecalis	female Bactrocera dorsalis fed Enterococcus faecalis and Klebsiella oxytoca enriched diets lived longer but had lower fecundity	True	True	False	21.89
4.35	Enterococcus faecalis	RISB0095	Diptera	Bactrocera minax	Enterococcus	Enterococcus faecalis	egrade phenols in unripe citrus in B. minax larvae	True	True	False	20.35
15.27	Salmonella enterica	RISB0413	Hemiptera	Melanaphis sacchari	Salmonella	Salmonella enterica	None	True	False	False	20.27
5.1	Klebsiella pneumoniae	RISB1771	Diptera	Muscidae	Klebsiella	Klebsiella pneumoniae	None	True	True	False	20.1
0.08	Enterobacter sp. T2	RISB0893	Diptera	Bactrocera dorsalis	Enterobacter	Enterobacter sp.	be beneficial, with some quality control indices, such as adult size, pupal weight, survival rate under stress and nutritionally rich conditions, and mating competitiveness, being significantly increased, while slight nonsignificant increases in emergence rate and flight ability were observed	True	True	False	20.08
0.06	Klebsiella oxytoca	RISB0130	Diptera	Ceratitis capitata	Klebsiella	Klebsiella oxytoca	The intestinal microbiota structure was significantly influenced by the probiotic treatment while still maintaining a stable core dominant community of Enterobacteriacea. The  colony with these microbiome had the most improved potential functions in terms of gut microbes as well as the carbohydrates active enzymes most improved potential functions.	True	True	False	20.060000000000002
0.08	Enterobacter sp. T2	RISB1338	Diptera	Ceratitis capitata	Enterobacter	Enterobacter sp. AA26	Enterobacter sp. AA26 dry biomass can fully replace the brewer’s yeast as a protein source in medfly larval diet without any effect on the productivity and the biological quality of reared medfly of VIENNA 8 GSS	True	True	False	19.3
