Candidatus Shikimatogenerans	Bacteroidota	Flavobacteriia					Flavobacteriales									Candidatus Shikimatogenerans
Candidatus Nardonella	Pseudomonadota	Gammaproteobacteria														Candidatus Nardonella
Candidatus Macropleicola	Pseudomonadota	Gammaproteobacteria					Enterobacterales					Enterobacteriaceae				Candidatus Macropleicola
Candidatus Stammera	Pseudomonadota	Gammaproteobacteria					Enterobacterales					Enterobacteriaceae				Candidatus Stammera
Pantoea	Pseudomonadota	Gammaproteobacteria					Enterobacterales					Erwiniaceae				Pantoea
Streptomyces	Actinomycetota	Actinomycetes					Kitasatosporales					Streptomycetaceae				Streptomyces
Sodalis	Pseudomonadota	Gammaproteobacteria					Enterobacterales					Bruguierivoracaceae				Sodalis
Pseudomonas	Pseudomonadota	Gammaproteobacteria					Pseudomonadales					Pseudomonadaceae				Pseudomonas
Yarrowia	Ascomycota	Saccharomycetes					Saccharomycetales					Dipodascaceae				Yarrowia
Burkholderia	Pseudomonadota	Betaproteobacteria					Burkholderiales					Burkholderiaceae				Burkholderia
Rickettsia	Pseudomonadota	Alphaproteobacteria					Rickettsiales					Rickettsiaceae		Rickettsieae		Rickettsia
Wolbachia	Pseudomonadota	Alphaproteobacteria					Rickettsiales					Anaplasmataceae		Wolbachieae		Wolbachia
