Insect Species	Symbiont Name
Donacia bicoloricornis	Candidatus Macropleicola muticae
Donacia cincticornis	Candidatus Macropleicola muticae
Donacia cinerea	Candidatus Macropleicola muticae
Donacia clavipes	Candidatus Macropleicola muticae
Donacia crassipes	Candidatus Macropleicola muticae
Donacia dentata	Candidatus Macropleicola muticae
Donacia fulgens	Candidatus Macropleicola muticae
Donacia marginata	Candidatus Macropleicola muticae
Donacia piscatrix	Candidatus Macropleicola muticae
Donacia provostii	Candidatus Macropleicola muticae
Donacia proxima	Candidatus Macropleicola muticae
Donacia semicuprea	Candidatus Macropleicola muticae
Donacia simplex	Candidatus Macropleicola muticae
Donacia sparganii	Candidatus Macropleicola muticae
Donacia thalassina	Candidatus Macropleicola muticae
Donacia tomentosa	Candidatus Macropleicola muticae
Donacia versicolorea	Candidatus Macropleicola muticae

Donacia vulgaris	Candidatus Macropleicola muticae
Macroplea appendiculata	Candidatus Macropleicola muticae
Macroplea mutica	Candidatus Macropleicola muticae
Neohaemonia nigricornis	Candidatus Macropleicola muticae
Plateumaris braccata	Candidatus Macropleicola muticae
Plateumaris consimilis	Candidatus Macropleicola muticae
Plateumaris pusilla	Candidatus Macropleicola muticae
Plateumaris rustica	Candidatus Macropleicola muticae
Plateumaris sericea	Candidatus Macropleicola muticae
Psylliodes chrysocephala	Pantoea
Bemisia tabaci	Candidatus Rickettsia_Torix_Bemisia_tabaci
Corcyra cephalonica	Wolbachia wCcep
Nilaparvata lugens	Wolbachia
Laodelphax striatellus	Wolbachia
Nilaparvata lugens	Wolbachia

Lagria hirta	Burkholderia
Lagria villosa	Burkholderia
Riptortus pedestris	Burkholderia
Yemma exilis	Burkholderia
Metatropis rufescens	Burkholderia
Chauliops fallax	Burkholderia
Malcus japonicus	Burkholderia
Tropidothorax belogolowi	Burkholderia
Aethalotus nigriventris 	Burkholderia
Caenocoris dimidiatus	Burkholderia
Spilostethus hospes	Burkholderia
Graptostethus servus	Burkholderia
Oncopeltus nigriceps	Burkholderia
Thunbergia sanguinaria	Burkholderia
Nysius plebeius	Burkholderia
Pylorgus colon	Burkholderia
Geocoris proteus	Burkholderia
Piocoris varius	Burkholderia
Dimorphopterus pallipes	Burkholderia
Cavelerius saccharivorus	Burkholderia
Pachybrachius luridus	Burkholderia
Paromius exiguus	Burkholderia
Togo hemipterus	Burkholderia
Paraeucosmetus pallicornis	Burkholderia
Horridipamera inconspicua	Burkholderia
Horridipamera nietneri	Burkholderia
Panaorus japonicus 	Burkholderia
Pangorus albomaculatus 	Burkholderia
Metochus abbreviatus	Burkholderia
Neolethaeus dallasi	Burkholderia
Lethaeus assamensis	Burkholderia
Pachygrontha antennata	Burkholderia
Molipteryx fuliginosa	Burkholderia
Acanthocoris sordidus.	Burkholderia
Leptoglossus australis	Burkholderia
Dasynus coccocinctus	Burkholderia
Notobitus meleagris	Burkholderia
Hygia opaca	Burkholderia
Hygia lativentris	Burkholderia
Homoeocerus dilatatus	Burkholderia
Homoeocerus unipunctatus  	Burkholderia
Homoeocerus marginiventris	Burkholderia
Anacanthocoris striicornis	Burkholderia
Paradasynus spinosus	Burkholderia
linachtus bicoloripes	Burkholderia
Plinachtus basalis	Burkholderia
Plinachtus bicoloripes	Burkholderia
Cletus trigonus	Burkholderia
Cletus punctigerr	Burkholderia
Cletus rusticus	Burkholderia
Riptortus linearis	Burkholderia
Leptocorisa chinensis	Burkholderia
Leptocorisa acuta	Burkholderia
Leptocorisa oratoria	Burkholderia
Megalotomus costalis	Burkholderia
Daclera levana	Burkholderia
Paraplesius unicolor	Burkholderia
Riptortus clavatu	Burkholderia
Tetraponera binghami	Burkholderia
Formica exsecta	Burkholderia
Pseudomyrmex gracilis	Burkholderia
Pseudomyrmex ferrugineus	Burkholderia
Apis mellifera	Burkholderia cepacia
Bombus sonorus	Burkholderia cepacia

Osmia bicornis	Burkholderia
Osmia bicornis	Diaphorobacter
Osmia bicornis	Massilia
Osmia bicornis	Duganella
Osmia bicornis	Variovorax
Osmia bicornis	Acidimonas
Osmia bicornis	Acidimonas
Osmia bicornis	Craurococcus
Osmia bicornis	Saccharibacter
Osmia bicornis	Tanticharoenia
Osmia bicornis	Bacillus subtillis
Osmia bicornis	Bacillus circulans
Plodia interpunctella	Bacillus sp. YP1
Plodia interpunctella	Enterobacter asburiae YT1
Tenebrio molitor	Rhodococcus ruber
Tenebrio molitor	Exiguobacterium sp. YT2
Tenebrio molitor	Citrobacter
Tenebrio molitor	Kosakonia
Tenebrio molitor	Aeromonas sp. TM1
Tenebrio molitor	Klebsiella pneumoniae ZM1
Zophobas morio	Aeromonas sp. TM1
Zophobas morio	Klebsiella pneumoniae ZM1
Lepidiota mansueta	Citrobacter
Nicrophorus vespilloides	Serratia marcescens
Nicrophorus concolor	Mycobacterium
Spodoptera littoralis	Enterococcus mundtii
