ID	Title	Authors	doi	Journal	Publish Time	Species	Symbiont
1	"Candidatus Curculioniphilus buchneri," a novel clade of bacterial endocellular symbionts from weevils of the genus Curculio	Toju, H; Hosokawa, T; Koga, R; Nikoh, N; Meng, XY; Kimura, N; Fukatsu, T	10.1128/AEM.02154-09	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2010	Curculio sikkimensis	Candidatus Curculioniphilus buchneri
2	“This is not an Apple”–Yeast Mutualism in Codling Moth	Witzgall, Peter; Proffit, Magali; Rozpedowska, Elzbieta; Becher, Paul G.; Andreadis, Stefanos; Coracini, Miryan; Lindblom, Tobias U. T.; Ream, Lee J.; Hagman, Arne; Bengtsson, Marie; Kurtzman, Cletus P.; Piskur, Jure; Knight, Alan	10.1007/s10886-012-0158-y	Journal of Chemical Ecology	2012	Cydia pomonella	Metschnikowia
3	16S rRNA phylogenetic analysis of the bacterial endosymbionts associated with cytoplasmic incompatibility in insects	ONEILL, SL; GIORDANO, R; COLBERT, AME; KARR, TL; ROBERTSON, HM	10.1073/pnas.89.7.2699	Proceedings of the National Academy of Sciences of the United States of America	1992	Aedes albopictus	Wolbachia pipientis
4	A bacterial symbiont in the Bacteroidetes induces cytoplasmic incompatibility in the parasitoid wasp Encarsia pergandiella	Hunter, MS; Perlman, SJ; Kelly, SE	10.1098/rspb.2003.2475	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	2003	Encarsia pergandiella	Bacteroidota
5	A Bacterial Symbiont Protects Honey Bees from Fungal Disease	Miller, DL; Smith, EA; Newton, ILG	10.1128/mbio.00503-21	MBIO	2021	Apis mellifera	Bombella apis
6	A distinct strain of Arsenophonus symbiont decreases insecticide resistance in its insect host	Pang, R; Chen, M; Yue, L; Xing, K; Li, TC; Kang, K; Liang, ZK; Yuan, LY; Zhang, WQ	10.1371/journal.pgen.1007725	PLOS GENETICS	2018	Nilaparvata lugens	Arsenophonus
7	A Distinctive and Host-Restricted Gut Microbiota in Populations of a Cactophilic Drosophila Species	Martinson, VG; Carpinteyro-Ponce, J; Moran, NA; Markow, TA	10.1128/AEM.01551-17	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2017	Drosophila nigrospiracula	bacteria
8	A double-edged sword: Amylostereum areolatum odors attract both Sirex noctilio (Hymenoptera: Siricidae) and its parasitoid, Ibalia leucospoides	Faal, H; Cha, DH; Hajek, AE; Teale, SA	10.1016/j.funeco.2021.101108	Fungal Ecology	2021	Sirex noctilio	Amylostereum areolatum
9	A fitness cost resulting from Hamiltonella defensa infection is associated with altered probing and feeding behaviour in Rhopalosiphum padi	Leybourne, DJ; Valentine, TA; Bos, JIB; Karley, AJ	10.1242/jeb.207936	JOURNAL OF EXPERIMENTAL BIOLOGY	2020	Rhopalosiphum padi	Hamiltonella defensa
10	A Freeloader? The Highly Eroded Yet Large Genome of the Serratia symbiotica Symbiont of Cinara strobi	Manzano-Marín, A; Coeur d'acier, A; Clamens, AL; Orvain, C; Cruaud, C; Barbe, V; Jousselin, E	10.1093/gbe/evy173	GENOME BIOLOGY AND EVOLUTION	2018	Cinara strobi	Buchnera aphidicola
11	A GroEL Homologue from Endosymbiotic Bacteria of the WhiteflyBemisia tabaciIs Implicated in the Circulative Transmission of Tomato Yellow Leaf Curl Virus	Morin, S; Ghanim, M; Zeidan, M; Czosnek, H; Verbeek, M; van den Heuvel, JFJM	10.1006/viro.1999.9631	Virology	1999	Bemisia tabaci	Buchnera spp.
12	A gut commensal bacterium promotes black soldier fly larval growth and development partly via modulation of intestinal protein metabolism	Luo, XY; Fang, GQ; Chen, KQ; Song, Y; Lu, TY; Tomberlin, JK; Zhan, S; Huang, YP	10.1128/mbio.01174-23	MBIO	2023	Hermetia illucens	Citrobacter amalonaticus
13	A Gut Commensal Bacterium Promotes Mosquito Permissiveness to Arboviruses	Wu, Pa; Sun, Peng; Nie, Kaixiao; Zhu, Yibin; Shi, Mingyu; Xiao, Changguang; Liu, Han; Liu, Qiyong; Zhao, Tongyan; Chen, Xiaoguang; Zhou, Hongning; Wang, Penghua; Cheng, Gong	10.1016/j.chom.2018.11.004	Cell Host & Microbe	2019	Aedes aegypti	Serratia marcescens
14	A Gut Symbiotic Bacterium Serratia marcescens Renders Mosquito Resistance to Plasmodium Infection Through Activation of Mosquito Immune Responses	Bai, L; Wang, LL; Vega-Rodríguez, J; Wang, GD; Wang, SB	10.3389/fmicb.2019.01580	FRONTIERS IN MICROBIOLOGY	2019	Anopheles sinensis	Serratia Y1
15	A leaf-rolling weevil benefits from general saprophytic fungi in polysaccharide degradation	Li, XQ; Wheeler, GS; Ding, JQ	10.1007/s11829-012-9194-3	ARTHROPOD-PLANT INTERACTIONS	2012	Heterapoderopsis bicallosicollis	Aspergillus sp.
16	A Lethal Fungus Infects the Chinese White Wax Scale Insect and Causes Dramatic Changes in the Host Microbiota	Sun, T; Wang, XQ; Zhao, ZL; Yu, SH; Yang, P; Chen, XM	10.1038/s41598-018-23671-1	SCIENTIFIC REPORTS	2018	Ericerus pela	Cladosporium langeronii
17	A metabolic pathway assembled by enzyme selection may support herbivory of leaf-cutter ants on plant starch	Bacci, M; Bueno, OC; Rodrigues, A; Pagnocca, FC; Somera, AF; Silva, A	10.1016/j.jinsphys.2013.02.007	JOURNAL OF INSECT PHYSIOLOGY	2013	Atta sexdens	Leucoagaricus gongylophorus
18	A metagenomic approach from aphid’s hemolymph sheds light on the potential roles of co-existing endosymbionts	De Clerck, C; Fujiwara, A; Joncour, P; Léonard, S; Félix, ML; Francis, F; Jijakli, MH; Tsuchida, T; Massart, S	10.1186/s40168-015-0130-5	Microbiome	2015	Pentalonia nigronervosa	Buchnera aphidicola（BPn）
19	A microsporidian impairs Plasmodium falciparum transmission in Anopheles arabiensis mosquitoes	Herren, JK; Mbaisi, L; Mararo, E; Makhulu, EE; Mobegi, VA; Butungi, H; Mancini, MV; Oundo, JW; Teal, ET; Pinaud, SN; Lawniczak, MKN; Jabara, J; Nattoh, G; Sinkins, SP	10.1038/s41467-020-16121-y	NATURE COMMUNICATIONS	2020	Anopheles arabiensis	Microsporidia MB
