Insect Species	Order	Family	Subfamily	Genus
Acalolepta fraudatrix	Coleoptera	Cerambycidae	Lamiinae	Acalolepta
Acanthococcus aceris	Hemiptera	Eriococcidae	None	Acanthococcus
Acanthocoris sordidus	Hemiptera	Coreidae	None	Acanthocoris
Acraea encedon	Lepidoptera	Pyralidae	Galleriinae	Acraea
Acrida cinerea	Orthoptera	Anostostomatidae	Deinacridinae	Acrida
Acrobasis nuxvorella	Lepidoptera	Pyralidae	Phycitinae	Acrobasis
Acrolepiopsis assectella	Lepidoptera	Pyralidae	Galleriinae	Acrolepiopsis
Acromyrmex coronatus	Hymenoptera	Formicidae	Myrmicinae	Acromyrmex
Acromyrmex echinatior	Hymenoptera	Formicidae	Myrmicinae	Acromyrmex
Acromyrmex octospinosus	Hymenoptera	Formicidae	Myrmicinae	Acromyrmex
Acromyrmex subterraneus subterraneus	Hymenoptera	Formicidae	Myrmicinae	Acromyrmex
Acrosternum arabicum	Hemiptera	Pentatomidae	Pentatominae	Acrosternum
Acyrthosiphon malvae	Hemiptera	Aleyrodidae	Aleyrodinae	Acyrthosiphon
Acyrthosiphon pisum	Hemiptera	Aphididae	Aphidinae	Acyrthosiphon
Adalia bipunctata	Coleoptera	Coccinellidae	Coccinellinae	Adalia
Adalia decempunctata	Coleoptera	Coccinellidae	Coccinellinae	Adalia
Adelges nordmannianae/piceae	Hemiptera	Adelgidae	None	Adelges
Adelges tsugae	Hemiptera	Adelgidae	None	Adelges
Adelphocoris suturalis	Hemiptera	Miridae	Mirinae	Adelphocoris
Aedes aegypti	Diptera	Culicidae	Culicinae	Aedes
Aedes albopictus	Diptera	Culicidae	Culicinae	Aedes
Aedes fluviatilis	Diptera	Culicidae	Culicinae	Aedes
Aethalotus nigriventris	Hemiptera	Lygaeidae	Lygaeidae	Aethalotus
Aethina tumida	Coleoptera	Nitidulidae	Nitidulinae	Aethina
Agonoscena pistaciae	Hemiptera	Aphalaridae	None	Agonoscena
Agrilus planipennis	Coleoptera	Buprestidae	Agrilinae	Agrilus
Agrotis ipsilon	Lepidoptera	Noctuidae	Noctuinae	Agrotis
Aldrichina grahami	Diptera	Glossinidae	None	Aldrichina
Aleurocanthus camellia	Hemiptera	Aleyrodidae	Aleyrodinae	Aleurocanthus
Aleurocanthus spiniferus	Hemiptera	Aleyrodidae	Aleyrodinae	Aleurocanthus
Aleurodicus rugioperculatus	Hemiptera	Aleyrodidae	Aleurodicinae	Aleurodicus
Alphitobius diaperinus	Coleoptera	Tenebrionidae	Tenebrioninae	Alphitobius
Alydus tomentosus	Hemiptera	Alydidae	None	Alydus
Ambrosiodmus minor	Coleoptera	Curculionidae	Scolytinae	Ambrosiodmus
Amphimallon solstitiale	Coleoptera	Scarabaeidae	Melolonthinae	Amphimallon
Anacanthocoris striicornis	Hemiptera	Coreidae	None	Anacanthocoris
Anaphes nitens	Hymenoptera	Mymaridae	None	Anaphes
Anasa tristis	Hemiptera	Coreidae	Coreinae	Anasa
Anastrepha fraterculus	Diptera	Tephritidae	Trypetinae	Anastrepha
Anastrepha obliqua	Diptera	Tephritidae	Trypetinae	Anastrepha
Anastrepha striata	Diptera	Tephritidae	Trypetinae	Anastrepha
Anisandrus maiche	Coleoptera	Curculionidae	Scolytinae	Anisandrus
Anoecia corni	Hemiptera	Anoeciidae	None	Anoecia
Anopheles arabiensis	Diptera	Culicidae	Anophelinae	Anopheles
Anopheles barbirostris	Diptera	Culicidae	Anophelinae	Anopheles
