Insect Species	Order	Family	Subfamily	Genus	Common Name	Description	Figure Source	Genome ID	Genome Level	BUSCO
Acalolepta fraudatrix	Coleoptera	Cerambycidae	Lamiinae	Acalolepta	None	Acalolepta fraudatrix is a species of beetle in the family Cerambycidae. It was described by Henry Walter Bates in 1873. It is known from Korea, Japan, China, and Russia.	Wikipedia	None	None	None
Acanthococcus aceris	Hemiptera	Eriococcidae	None	Acanthococcus	None	Description is currently not available	Wikipedia	None	None	None
Acanthocoris sordidus	Hemiptera	Coreidae	None	Acanthocoris	None	Description is currently not available	Wikipedia	None	None	None
Acraea encedon	Lepidoptera	Pyralidae	Galleriinae	Acraea	None	Acraea encedon, the common acraea, white-barred acraea or encedon acraea, is a butterfly of the family Nymphalidae. It is found in sub-Saharan Africa and south-western Arabia. It is one of the species of Acraea sometimes separated in Telchinia.	Wikipedia	None	None	None
Acrida cinerea	Orthoptera	Anostostomatidae	Deinacridinae	Acrida	None	Acrida cinerea, sometimes called the Oriental longheaded grasshopper/locust or the Chinese grasshopper though this name is also applied to Oxya chinensis, is a member of the Acrididae family. Like other members of the genus Acrida, Acrida cinerea lacks stridulatory organs on its legs and so they do not make noise while moving.	Wikipedia	None	None	None
Acrobasis nuxvorella	Lepidoptera	Pyralidae	Phycitinae	Acrobasis	None	Acrobasis nuxvorella, the pecan nut casebearer, is a moth of the family Pyralidae described by Herbert H. Neunzig  in 1970. It is found in the United States in eastern New Mexico, Texas, Oklahoma, Louisiana, Missouri, southern Illinois, Mississippi, Alabama, Florida, Georgia, South Carolina and North Carolina.	Wikipedia	None	None	None
Acrolepiopsis assectella	Lepidoptera	Pyralidae	Galleriinae	Acrolepiopsis	None	The leek moth or onion leaf miner  is a species of moth of family Acrolepiidae  and the genus Acrolepiopsis. The species is native to Europe and Siberia, but is also found in North America, where it is an invasive species. While it was initially recorded in Hawaii, this was actually a misidentification of Acrolepiopsis sapporensis.	Wikipedia	None	None	None
Acromyrmex coronatus	Hymenoptera	Formicidae	Myrmicinae	Acromyrmex	None	Acromyrmex coronatus is a New World ant of the subfamily Myrmicinae found in the wild naturally from Guatemala to Brazil and Ecuador.	Winsten Slowswakey@	None	None	None
Acromyrmex echinatior	Hymenoptera	Formicidae	Myrmicinae	Acromyrmex	None	Acromyrmex echinatior is a species of New World ants of the subfamily Myrmicinae of the genus Acromyrmex. It is found in the wild naturally from Mexico to Panama.In Costa Rica this species prefers open dry habitats such as urban areas around San Jose and seasonally dry habitats of Guanacaste Province. There is evidence to suggest that this species nests may occasionally be arboreal.	Alex Wild@	GCA_000204515.1	Scaffold	C:98.8%[S:98.3%,D:0.5%],F:0.8%,M:0.4%,n:1367
Acromyrmex octospinosus	Hymenoptera	Formicidae	Myrmicinae	Acromyrmex	None	Acromyrmex guentheri	Wikipedia	None	None	None
