ID	Run	Assay Type	BioSample	Bytes	Center Name	Instrument	LibraryLayout	LibrarySelection	Platform	BioProject	geo_loc_name_country	geo_loc_name_country_continent	Collection_Date	geo_loc_name	BioSampleModel	lat_lon	Host	Host Order	Host Family	Isolation	Description	Doi
1	SRR11031508	WGS	SAMN13972899	3576384305	UNIVERSITY OF HAIFA	Illumina NovaSeq 6000	PAIRED	RANDOM	ILLUMINA	PRJNA604900	India	Asia	2019	India	Metagenome or environmental	18.2901 N 73.4956 E	Chironomus incertipenis	Diptera	Chironomidae	Mutha River in the neighborhood Vitthal mandir	None	None
2	SRR11031509	WGS	SAMN13972898	2649523739	UNIVERSITY OF HAIFA	Illumina NovaSeq 6000	PAIRED	RANDOM	ILLUMINA	PRJNA604900	India	Asia	2019	India	Metagenome or environmental	18.2901 N 73.4956 E	Chironomus incertipenis	Diptera	Chironomidae	Mutha River in the neighborhood Vitthal mandir	None	None
3	SRR11031510	WGS	SAMN13972897	3193679303	UNIVERSITY OF HAIFA	Illumina NovaSeq 6000	PAIRED	RANDOM	ILLUMINA	PRJNA604900	India	Asia	2019	India	Metagenome or environmental	18.2901 N 73.4956 E	Chironomus incertipenis	Diptera	Chironomidae	Mutha River in the neighborhood Vitthal mandir	None	None
4	SRR12668443	WGS	SAMN16178257	97367708	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
5	SRR12668444	WGS	SAMN16178255	30439352	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
6	SRR12668445	WGS	SAMN16178253	5425370	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
7	SRR12668446	WGS	SAMN16178251	39811888	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-02-05	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
8	SRR12668447	WGS	SAMN16178249	85769805	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-02-05	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
9	SRR12668448	WGS	SAMN16178245	560767	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
10	SRR12668449	WGS	SAMN16178247	66456895	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-02-05	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
