ID	Record Type	Order	Family	Subfamily	Insect Species	Symbiont Phylum	Symbiont Order	Symbiont Genus	Symbiont Rank	Symbiont Taxon	Symbiont Name	Classification	Localization	Function	Transmission mode	Symbiont Seq	Reference	doi	note
1	Symbiont	Coleoptera	Bostrichidae	Lyctinae	Lyctus brunneus	Bacteroidota	Flavobacteriales	Candidatus Shikimatogenerans	Genus	Candidatus Shikimatogenerans	Candidatus Shikimatogenerans	Bacteria	Intracellular	Possibly tyrosine precursor provisioning	Vertical	None	Ancient symbiosis confers desiccation resistance to stored grain pest beetles	10.1111/mec.14418	None
2	Symbiont	Coleoptera	Bostrichidae	Dinoderinae	Multiple species	Bacteroidota	Flavobacteriales	Candidatus Shikimatogenerans	Genus	Candidatus Shikimatogenerans	Candidatus Shikimatogenerans	Bacteria	Intracellular	Possibly tyrosine precursor provisioning	Vertical	None	Ancient symbiosis confers desiccation resistance to stored grain pest beetles	10.1111/mec.14418	None
3	Symbiont	Coleoptera	Brentidae	Brentinae	Multiple species	Pseudomonadota	None	Candidatus Nardonella	Genus	Candidatus Nardonella	Candidatus Nardonella	Bacteria	Unknown	Possibly tyrosine precursor provisioning	Vertical	None	Endosymbiont diversity and evolution across weevil tree of life	10.1101/171181	None
4	Symbiont	Coleoptera	Silvanidae	Silvaninae	Oryzaephilus surinamensis	Bacteroidetes	None	None	Phylum	Bacteroidetes	Bacteroidetes	Bacteria	Intracellular	Affect cuticle thickness, melanization and hydrocarbon profile, enhancing desiccation resistance and thereby strongly improving fitness under dry conditions.	Vertical	MF183956.1	Ancient symbiosis confers desiccation resistance to stored grain pest beetles	10.1111/mec.14418	None
5	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Donacia bicoloricornis	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012567955.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7	None
6	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Donacia cincticornis	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012568845.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7	None
7	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Donacia cinerea	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012569925.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7	None
8	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Donacia clavipes	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012570365.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7	None
9	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Donacia crassipes	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012569785.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7	None
10	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Donacia dentata	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012570745.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7	None
