序号	记录类型	分类目	分类科	分类亚科	昆虫名称	共生体分类门	共生体分类目	共生体分类属	共生体分类级别	共生体分类阶元	共生体名称	种类	功能	功能标签	共生体序列数据	参考文献	doi号	期刊	出版年份	备注
ID	Record Type	Order	Family	Subfamily	Insect Species	Symbiont Phylum	Symbiont Order	Symbiont Genus	Symbiont Rank	Symbiont Taxon	Symbiont Name	Classification	Function	Function Tag	Related Data	Reference	doi	Journal	Year	Note
1	Symbiont	Coleoptera	Chrysomelidae	Chrysomelinae	Leptinotarsa decemlineata	Pseudomonadota	Enterobacterales	Proteus	Genus	Proteus	Proteus vulgaris Ld01	Bacteria	produces toxic hydrogen cyanide (HCN) and a mandelonitrile-producing cyanoglucoside, amygdalin, which protect the insect from predation	Natural enemy resistance,Chemical biosynthesis	GCA_023100685.1	Mandelonitrile produced by commensal bacteria protects the Colorado potato beetle against predation	10.1038/s41467-024-54439-z	Nature Communications	2024	None
2	Metagenome	Coleoptera	Coccinellidae	Coccinellinae	Harmonia axyridis	None	None	None	None	None	gut bacteria	Bacteria	None	None	SRR25337248-SRR25337251	Analysis of gut microbiota of ladybug beetle (Harmonia axyridis) after feeding on different artificial diets	10.1186/s12866-023-03155-7	BMC MICROBIOLOGY	2024	None
3	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera frugiperda	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus spp.	Bacteria	may play a protective role against insect pathogens	Pathogen interaction	None	Antibiotics ingestion altered the composition of gut microbes and affected the development and reproduction of the fall armyworm	10.1007/s10340-024-01759-0	JOURNAL OF PEST SCIENCE	2024	None
4	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera frugiperda	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella spp.	Bacteria	may have positive effects on insect fecundity	Fertility	None	Antibiotics ingestion altered the composition of gut microbes and affected the development and reproduction of the fall armyworm	10.1007/s10340-024-01759-0	JOURNAL OF PEST SCIENCE	2024	None
5	Amplicon	Lepidoptera	Gelechiidae	Gelechiinae	Tuta absoluta	None	None	None	None	None	Microbiome	Bacteria	None	None	SRX22236810-SRX22236849	Bacterial biota associated with the invasive insect pest Tuta absoluta (Meyrick)	10.1038/s41598-024-58753-w	SCIENTIFIC REPORTS	2024	None
6	Symbiont	Hemiptera	Aphididae	Aphidinae	Sitobion miscanthi	Pseudomonadota	Rickettsiales	None	Genus	Sitobion	Sitobion miscanthi L-type symbiont (SMLS)	Bacteria	SMLS mediates host antiviral defenses to inhibit the propagation of Sitobion miscanthi densovirus（SmDV）	Pathogen interaction	None	Bacterial Symbiont Mediates Aphid Antiviral Systems to Inhibit the Propagation of a New Pathogenic Densovirus in Chinese Wheat Aphid, Sitobion miscanthi	10.1021/acs.jafc.4c02642	Journal of Agricultural and Food Chemistry	2024	None
7	Symbiont	Diptera	Calliphoridae	Chrysomyinae	Phormia regina	Bacillota	Bacillales	Exiguobacterium	Genus	Exiguobacterium	Exiguobacterium sp.	Bacteria	prompted oviposition by flies; The flies' oviposition decisions appear to be guided by bacteria-derived semiochemicals as the bacteria	Chemical biosynthesis	None	Black blow fly (Diptera: Calliphoridae) bacterial symbionts inform oviposition site selection by stable flies (Diptera: Muscidae)	10.1093/jisesa/ieae040	JOURNAL OF INSECT SCIENCE	2024	None
8	Symbiont	Diptera	Calliphoridae	Chrysomyinae	Phormia regina	Pseudomonadota	Enterobacterales	Morganella	Genus	Morganella	Morganella morganii	Bacteria	deterred oviposition by female stable flies; The flies' oviposition decisions appear to be guided by bacteria-derived semiochemicals as the bacteria	Chemical biosynthesis	None	Black blow fly (Diptera: Calliphoridae) bacterial symbionts inform oviposition site selection by stable flies (Diptera: Muscidae)	10.1093/jisesa/ieae040	JOURNAL OF INSECT SCIENCE	2024	None
9	Symbiont	Diptera	Calliphoridae	Chrysomyinae	Phormia regina	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia marcescens	Bacteria	prompted oviposition by flies; The flies' oviposition decisions appear to be guided by bacteria-derived semiochemicals as the bacteria	Chemical biosynthesis	None	Black blow fly (Diptera: Calliphoridae) bacterial symbionts inform oviposition site selection by stable flies (Diptera: Muscidae)	10.1093/jisesa/ieae040	JOURNAL OF INSECT SCIENCE	2024	None
10	Symbiont	Hemiptera	Delphacidae	Delphacinae	Sogatella furcifera	Bacteroidota	Cytophagales	Candidatus Cardinium	Genus	Candidatus Cardinium	Cardinium	Bacteria	significantly decreased the diversity of the microbial community	None	None	Both symbionts and environmental factors contribute to shape the microbiota in a pest insect, Sogatella furcifera	10.3389/fmicb.2023.1336345	FRONTIERS IN MICROBIOLOGY	2024	None
11	Symbiont	Hemiptera	Delphacidae	Delphacinae	Sogatella furcifera	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	significantly decreased the diversity of the microbial community	None	None	Both symbionts and environmental factors contribute to shape the microbiota in a pest insect, Sogatella furcifera	10.3389/fmicb.2023.1336345	FRONTIERS IN MICROBIOLOGY	2024	None
12	Amplicon	Coleoptera	Scarabaeidae	Dynastinae	Oryctes rhinoceros	None	None	None	None	None	gut bacteria	Bacteria	digestive symbiosis with potential plant cell wall degrading microbes	Digestive enzymes	SRX21132356-SRX21132417	Coconut rhinoceros beetle digestive symbiosis with potential plant cell wall degrading microbes	10.1038/s41522-024-00505-9	NPJ BIOFILMS AND MICROBIOMES	2024	None
13	Metagenome	Coleoptera	Scarabaeidae	Dynastinae	Oryctes rhinoceros	None	None	None	None	None	gut bacteria	Bacteria	digestive symbiosis with potential plant cell wall degrading microbes	Digestive enzymes	SRX21132418	Coconut rhinoceros beetle digestive symbiosis with potential plant cell wall degrading microbes	10.1038/s41522-024-00505-9	NPJ BIOFILMS AND MICROBIOMES	2024	None
14	Symbiont	Diptera	Culicidae	Culicinae	Aedes aegypti	Pseudomonadota	Rhodospirillales	Asaia	Genus	Asaia	Asaia	Bacteria	The bacterium Asaia is considered a highly promising candidate for arboviral control in Aedes mosquitoes.Asaia could play a role in inhibiting CHIKV within Ae. aegypti.	Pathogen interaction	PRJNA1043583	Comparative analysis of midgut bacterial communities in Chikungunya virus-infected and non-infected Aedes aegypti Thai laboratory strain mosquitoes	10.1038/s41598-024-61027-0	SCIENTIFIC REPORTS	2024	None
15	Symbiont	Diptera	Culicidae	Culicinae	Aedes aegypti	Bacteroidota	Flavobacteriales	Chryseobacterium	Genus	Chryseobacterium	Chryseobacterium	Bacteria	None	None	PRJNA1043583	Comparative analysis of midgut bacterial communities in Chikungunya virus-infected and non-infected Aedes aegypti Thai laboratory strain mosquitoes	10.1038/s41598-024-61027-0	SCIENTIFIC REPORTS	2024	None
16	Symbiont	Diptera	Culicidae	Culicinae	Aedes aegypti	Pseudomonadota	Rhodospirillales	Gluconobacter	Genus	Gluconobacter	Gluconobacter	Bacteria	Gluconobacter might increase the susceptibility of Ae. aegypti to CHIKV infection.	Pathogen interaction	PRJNA1043583	Comparative analysis of midgut bacterial communities in Chikungunya virus-infected and non-infected Aedes aegypti Thai laboratory strain mosquitoes	10.1038/s41598-024-61027-0	SCIENTIFIC REPORTS	2024	None
17	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Pseudomonadota	Moraxellales	Acinetobacter	Genus	Acinetobacter	Acinetobacter calcoaceticus strain NRYSBAC-1	Bacteria	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON515472	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
18	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus sp. strain NRYSBBS-1	Bacteria	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	OR186508	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
19	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus cereus strain NRYSBBC-1	Bacteria	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON515473	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
20	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus sp. strain NRYSBBP-1	Bacteria	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON515471	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
21	Symbiont	Lepidoptera	Crambidae	Crambinae	Chilo suppressalis	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus sp. strain NRSSBBS-1	Bacteria	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON520737	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
22	Symbiont	Lepidoptera	Crambidae	Crambinae	Chilo suppressalis	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus proteolyticus strain NRSSBBP-1	Bacteria	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON520738	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
23	Symbiont	Lepidoptera	Crambidae	Crambinae	Chilo suppressalis	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus stratosphericus strain NRSSBBS-1	Bacteria	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON520739	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
24	Symbiont	Lepidoptera	Crambidae	Crambinae	Chilo suppressalis	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus subtilis strain NRSSBSUB-1	Bacteria	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON520739	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
25	Symbiont	Lepidoptera	Crambidae	Crambinae	Chilo suppressalis	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus albus strain NRSSBBA-1	Bacteria	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON520740	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
26	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Sesamia inferens	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus faecalis strain NRPSBEF-1	Bacteria	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON515475	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
27	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella sp. strain NRYSBKS-1	Bacteria	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON520695	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
28	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Sesamia inferens	Bacillota	Peptostreptococcales	Paraclostridium	Genus	Paraclostridium	Paraclostridium sp. strain NRPSBPS-1	Bacteria	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON520779	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
29	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Sesamia inferens	Bacillota	Bacillales	Staphylococcus	Genus	Staphylococcus	Staphylococcus sp. strain NRPSBSS-1	Bacteria	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON520735	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
30	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Sesamia inferens	Bacillota	Bacillales	Staphylococcus	Genus	Staphylococcus	Staphylococcus pavanii strain NRPSBSP-1	Bacteria	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON520736	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
31	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Sesamia inferens	Pseudomonadota	Lysobacterales	Stenotrophomonas	Genus	Stenotrophomonas	Stenotrophomonas sp. strain NRPSBSP-1	Bacteria	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON515474	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
32	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Sesamia inferens	Pseudomonadota	Lysobacterales	Stenotrophomonas	Genus	Stenotrophomonas	Stenotrophomonas sp. strain NRPSBSM-1	Bacteria	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON515476	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
33	Symbiont	Hemiptera	Cimicidae	None	Cimex lectularius	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia wCle	Bacteria	supplying B vitamins	Nutrient provision	None	Development, feeding, and sex shape the relative quantity of the nutritional obligatory symbiont Wolbachia in bed bugs	10.3389/fmicb.2024.1386458	FRONTIERS IN MICROBIOLOGY	2024	None
34	Symbiont	Coleoptera	Attelabidae	Attelabinae	Euops chinensis	Ascomycota	Eurotiales	Penicillium	Genus	Penicillium	Penicillium herquei	Fungi	P. herquei has the potential to synthesize or concentrate ergosterol, amino acids, and B vitamins and benefits the larvae of E. chinensis	Nutrient provision	None	Dietary potential of the symbiotic fungus Penicillium herquei for the larvae of a nonsocial fungus-cultivating weevil Euops chinensis	10.1128/aem.01537-23	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2024	None
35	Symbiont	Coleoptera	Curculionidae	Scolytinae	Anisandrus maiche	Ascomycota	Microascales	Ambrosiella	Genus	Ambrosiella	Ambrosiella cleistominuta	Fungi	None	None	None	Distribution of the invasive ambrosia beetle Anisandrus maiche (Coleoptera, Scolytinae) in Switzerland and first record in Europe of its ambrosia fungus Ambrosiella cleistominuta	10.3897/alpento.8.117537	ALPINE ENTOMOLOGY	2024	None
36	Symbiont	Diptera	Culicidae	Culicinae	Aedes aegypti	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	None	None	None	Diversity of Wolbachia infections in Sri Lankan mosquitoes with a new record of Wolbachia Supergroup B infecting Aedes aegypti vector populations	10.1038/s41598-024-62476-3	SCIENTIFIC REPORTS	2024	None
37	Amplicon	Hemiptera	Aphrophoridae	None	Philanus spumarius	None	None	None	None	None	gut bacteria	Bacteria	degrade cellulose	Digestive enzymes	OM243853-OM243910	Diversity, Composition, and Specificity of the Philaenus spumarius Bacteriome	10.3390/microorganisms12020298	MICROORGANISMS	2024	None
38	Symbiont	Diptera	Culicidae	Anophelinae	Anopheles arabiensis	Microsporidia	None	None	Genus	Microsporidia	Microsporidia sp. MB	Fungi	a malaria-blocking microsporidian symbiont	Pathogen interaction	GCA_032191455.1	Draft genome of Microsporidia sp. MB—a malaria-blocking microsporidian symbiont of the Anopheles arabiensis	10.1128/MRA.00903-23	Microbiology Resource Announcements	2024	None
39	Symbiont	Diptera	Glossinidae	None	Aldrichina grahami	Bacillota	Lactobacillales	Lactobacillus	Genus	Lactobacillus	Lactobacillus	Bacteria	None	None	None	Effects of Diet on the Gut Bacterial Community of Aldrichina grahami (Diptera: Calliphoridae) across Developmental Stages	10.3390/insects15030181	Insects	2024	None
40	Symbiont	Diptera	Glossinidae	None	Aldrichina grahami	Pseudomonadota	Enterobacterales	Morganella	Genus	Morganella	Morganella	Bacteria	None	None	None	Effects of Diet on the Gut Bacterial Community of Aldrichina grahami (Diptera: Calliphoridae) across Developmental Stages	10.3390/insects15030181	Insects	2024	None
