序号	记录类型	分类目	分类科	分类亚科	昆虫名称	共生体分类门	共生体分类目	共生体分类属	共生体分类级别	共生体分类阶元	共生体名称	种类	寄生位置	传播模式	功能	功能标签	共生体序列数据	基因组序号	参考文献	doi号	期刊	出版年份	备注
ID	Record Type	Order	Family	Subfamily	Insect Species	Symbiont Phylum	Symbiont Order	Symbiont Genus	Symbiont Rank	Symbiont Taxon	Symbiont Name	Classification	Localization	Transmission mode	Function	Function Tag	Related Data	Genome ID	Reference	doi	Journal	Year	Note
RISB0001	Symbiont	Coleoptera	Chrysomelidae	Chrysomelinae	Leptinotarsa decemlineata	Pseudomonadota	Enterobacterales	Proteus	Genus	Proteus	Proteus vulgaris Ld01	Bacteria	Extracellular	Vertical	produces toxic hydrogen cyanide (HCN) and a mandelonitrile-producing cyanoglucoside, amygdalin, which protect the insect from predation	Natural enemy resistance,Chemical biosynthesis	GCA_023100685.1	GISB0429	Mandelonitrile produced by commensal bacteria protects the Colorado potato beetle against predation	10.1038/s41467-024-54439-z	Nature Communications	2024	None
RISB0002	Metagenome	Coleoptera	Coccinellidae	Coccinellinae	Harmonia axyridis	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	None	None	None	SRR25337248-SRR25337251	None	Analysis of gut microbiota of ladybug beetle (Harmonia axyridis) after feeding on different artificial diets	10.1186/s12866-023-03155-7	BMC MICROBIOLOGY	2024	None
RISB0003	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera frugiperda	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus spp.	Bacteria	Extracellular	None	may play a protective role against insect pathogens	Pathogen interaction	None	None	Antibiotics ingestion altered the composition of gut microbes and affected the development and reproduction of the fall armyworm	10.1007/s10340-024-01759-0	JOURNAL OF PEST SCIENCE	2024	None
RISB0004	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera frugiperda	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella spp.	Bacteria	Extracellular	None	may have positive effects on insect fecundity	Fertility	None	None	Antibiotics ingestion altered the composition of gut microbes and affected the development and reproduction of the fall armyworm	10.1007/s10340-024-01759-0	JOURNAL OF PEST SCIENCE	2024	None
RISB0005	Amplicon	Lepidoptera	Gelechiidae	Gelechiinae	Tuta absoluta	None	None	None	None	None	Microbiome	Bacteria	Extracellular	None	None	None	SRX22236810-SRX22236849	None	Bacterial biota associated with the invasive insect pest Tuta absoluta (Meyrick)	10.1038/s41598-024-58753-w	SCIENTIFIC REPORTS	2024	None
RISB0006	Symbiont	Hemiptera	Aphididae	Aphidinae	Sitobion miscanthi	Pseudomonadota	Rickettsiales	None	Genus	Sitobion	Sitobion miscanthi L-type symbiont (SMLS)	Bacteria	Intracellular	None	SMLS mediates host antiviral defenses to inhibit the propagation of Sitobion miscanthi densovirus（SmDV）	Pathogen interaction	None	None	Bacterial Symbiont Mediates Aphid Antiviral Systems to Inhibit the Propagation of a New Pathogenic Densovirus in Chinese Wheat Aphid, Sitobion miscanthi	10.1021/acs.jafc.4c02642	Journal of Agricultural and Food Chemistry	2024	None
RISB0007	Symbiont	Diptera	Calliphoridae	Chrysomyinae	Phormia regina	Bacillota	Bacillales	Exiguobacterium	Genus	Exiguobacterium	Exiguobacterium sp.	Bacteria	Extracellular	None	prompted oviposition by flies; The flies' oviposition decisions appear to be guided by bacteria-derived semiochemicals as the bacteria	Chemical biosynthesis	None	None	Black blow fly (Diptera: Calliphoridae) bacterial symbionts inform oviposition site selection by stable flies (Diptera: Muscidae)	10.1093/jisesa/ieae040	JOURNAL OF INSECT SCIENCE	2024	None
RISB0008	Symbiont	Diptera	Calliphoridae	Chrysomyinae	Phormia regina	Pseudomonadota	Enterobacterales	Morganella	Genus	Morganella	Morganella morganii	Bacteria	Extracellular	None	deterred oviposition by female stable flies; The flies' oviposition decisions appear to be guided by bacteria-derived semiochemicals as the bacteria	Chemical biosynthesis	None	None	Black blow fly (Diptera: Calliphoridae) bacterial symbionts inform oviposition site selection by stable flies (Diptera: Muscidae)	10.1093/jisesa/ieae040	JOURNAL OF INSECT SCIENCE	2024	None
RISB0009	Symbiont	Diptera	Calliphoridae	Chrysomyinae	Phormia regina	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia marcescens	Bacteria	Extracellular	None	prompted oviposition by flies; The flies' oviposition decisions appear to be guided by bacteria-derived semiochemicals as the bacteria	Chemical biosynthesis	None	None	Black blow fly (Diptera: Calliphoridae) bacterial symbionts inform oviposition site selection by stable flies (Diptera: Muscidae)	10.1093/jisesa/ieae040	JOURNAL OF INSECT SCIENCE	2024	None
RISB0010	Symbiont	Hemiptera	Delphacidae	Delphacinae	Sogatella furcifera	Bacteroidota	Cytophagales	Candidatus Cardinium	Genus	Candidatus Cardinium	Cardinium	Bacteria	None	None	significantly decreased the diversity of the microbial community	None	None	None	Both symbionts and environmental factors contribute to shape the microbiota in a pest insect, Sogatella furcifera	10.3389/fmicb.2023.1336345	FRONTIERS IN MICROBIOLOGY	2024	None
RISB0011	Symbiont	Hemiptera	Delphacidae	Delphacinae	Sogatella furcifera	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	Intracellular	None	significantly decreased the diversity of the microbial community	None	None	None	Both symbionts and environmental factors contribute to shape the microbiota in a pest insect, Sogatella furcifera	10.3389/fmicb.2023.1336345	FRONTIERS IN MICROBIOLOGY	2024	None
