geo_loc_name	Host	lat_lon
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
China: Kunming	Spodoptera frugiperda	25.06 N 102.75 E
"China: Anhui, Zhangwan Village"	Psylliodes attenuatus	31.70 N 116.358 E
"China: Anhui, Zhangwan Village"	Psylliodes attenuatus	31.70 N 116.358 E
"China: Anhui, Luan"	Psylliodes attenuatus	31.806 N 116.519 E
"China: Anhui, Luan"	Psylliodes attenuatus	31.806 N 116.519 E
"China: Anhui, Luan"	Psylliodes attenuatus	31.806 N 116.519 E
"China: Anhui, Luan"	Psylliodes attenuatus	31.806 N 116.519 E
"China: Yunnan, Qujing"	Psylliodes attenuatus	25.85 N 103.75 E
"China: Yunnan, Qujing"	Psylliodes attenuatus	25.85 N 103.75 E
"China: Yunnan, Qujing"	Psylliodes attenuatus	25.85 N 103.75 E
"China: Yunnan, Qujing"	Psylliodes attenuatus	25.85 N 103.75 E
"China: Shandong, Taian"	Psylliodes attenuatus	35.97 N 116.97 E
"China: Shandong, Taian"	Psylliodes attenuatus	35.97 N 116.97 E
"China: Anhui, Wangqiao Village"	Psylliodes attenuatus	31.67 N 116.357 E
"China: Shandong, Taian"	Psylliodes attenuatus	35.97 N 116.97 E
"China: Shandong, Taian"	Psylliodes attenuatus	35.97 N 116.97 E
"China: Jilin, Changchun"	Psylliodes attenuatus	43.72 N 125.09 E
"China: Jilin, Changchun"	Psylliodes attenuatus	43.72 N 125.09 E
"China: Jilin, Changchun"	Psylliodes attenuatus	43.72 N 125.09 E
"China: Jilin, Changchun"	Psylliodes attenuatus	43.72 N 125.09 E
"China: Hunan, Shijihu"	Psylliodes attenuatus	28.8 N 112.36 E
"China: Hunan, Shijihu"	Psylliodes attenuatus	28.8 N 112.36 E
"China: Hunan, Shijihu"	Psylliodes attenuatus	28.8 N 112.36 E
"China: Hunan, Shijihu"	Psylliodes attenuatus	28.8 N 112.36 E
"China: Anhui, Wangqiao Village"	Psylliodes attenuatus	31.67 N 116.357 E
"China: Heilongjiang, Harbin"	Psylliodes attenuatus	45.59 N 126.44 E
"China: Heilongjiang, Harbin"	Psylliodes attenuatus	45.59 N 126.44 E
"China: Heilongjiang, Harbin"	Psylliodes attenuatus	45.59 N 126.44 E
"China: Heilongjiang, Harbin"	Psylliodes attenuatus	45.59 N 126.44 E
"China: Heilongjiang, Daqing"	Psylliodes attenuatus	46.67 N 125.23 E
"China: Heilongjiang, Daqing"	Psylliodes attenuatus	46.67 N 125.23 E
"China: Heilongjiang, Daqing"	Psylliodes attenuatus	46.67 N 125.23 E
"China: Heilongjiang, Daqing"	Psylliodes attenuatus	46.67 N 125.23 E
"China: Anhui, Zhangwan Village"	Psylliodes attenuatus	31.70 N 116.358 E
"China: Anhui, Zhangwan Village"	Psylliodes attenuatus	31.70 N 116.358 E
"China: Anhui, Wangqiao Village"	Psylliodes attenuatus	31.67 N 116.357 E
"China: Anhui, Wangqiao Village"	Psylliodes attenuatus	31.67 N 116.357 E
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: California, Tulare County, Whitaker Forest"	Anisodactylus	36.7022 N 118.9325 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: California, Tulare County, Whitaker Forest"	Pterostichus serripes	36.7022 N 118.9325 W
"USA: Arizona, Santa Cruz County, Madera CanyonCalifornia, Tulare County, Whitaker Forest"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"USA: Arizona, Santa Cruz County, Madera Canyon"	Brachinus elongatulus	31.72 N 110.88 W
"Italy: Laboratory, Varese"	None	45.7963 N 8.8485 E
