geo_loc_name	Host	lat_lon
India	Chironomus incertipenis	18.2901 N 73.4956 E
India	Chironomus incertipenis	18.2901 N 73.4956 E
India	Chironomus incertipenis	18.2901 N 73.4956 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
India:Bangalore	Tribolium castaneum	12.9716 N 77.5946 E
