Prays oleae	Acetinobacter	Pseudomonadota
Acalolepta fraudatrix	Wolbachia	Pseudomonadota
Acanthococcus aceris	Burkholderia	Pseudomonadota
Acanthocoris sordidus.	Burkholderia	Pseudomonadota
Acraea encedon	Wolbachia	Pseudomonadota
Acrida cinerea	Brevibacterium	Actinomycetota
Acrobasis nuxvorella	Bacillus	Bacillota
Acrobasis nuxvorella	Staphylococcus	Bacillota
Acrolepiopsis assectella	Bacillus	Bacillota
Acrolepiopsis assectella	Klebsiella	Pseudomonadota
Acromyrmex	Pseudonocardia	Actinomycetota
Acromyrmex coronatus	Streptomyces	Actinomycetota
Acromyrmex echinatior	Leucoagaricus	Basidiomycota
Acromyrmex octospinosus	Streptomyces	Actinomycetota
Acrosternum arabicum	Pantoea	Pseudomonadota
Acyrthosiphon malvae	Candidatus Hamiltonella	Pseudomonadota
Acyrthosiphon pisum	Buchnera	Pseudomonadota
Acyrthosiphon pisum	Candidatus Fukatsuia	Pseudomonadota
Acyrthosiphon pisum	Candidatus Hamiltonella	Pseudomonadota
Acyrthosiphon pisum	Candidatus Regiella	Pseudomonadota
Acyrthosiphon pisum	Rickettsia	Pseudomonadota
Acyrthosiphon pisum	Rickettsiella	Pseudomonadota
Acyrthosiphon pisum	Serratia	Pseudomonadota
Acyrthosiphon pisum	Spiroplasma	Mycoplasmatota
Acyrthosiphon pisum	Xenorhabdus	Pseudomonadota
Adalia bipunctata	Spiroplasma	Mycoplasmatota
Adalia bipunctata	Wolbachia	Pseudomonadota
Adalia decempunctata	Rickettsia	Pseudomonadota
Adelges nordmannianae	Candidatus Steffania	Pseudomonadota
Adelges tsugae	Candidatus Annandia	Pseudomonadota
Adelges tsugae	Pseudomonas	Pseudomonadota
Adelges tsugae	Serratia	Pseudomonadota
Adelgidae	Candidatus Annandia	Pseudomonadota
Adelgidae	Candidatus Gillettellia	Pseudomonadota
Adelgidae	Candidatus Hartigia	Pseudomonadota
Adelgidae	Candidatus Profftia	Pseudomonadota
Adelgidae	Candidatus Vallotia	Pseudomonadota
Adelgidae	Pseudomonas	Pseudomonadota
Aedes aegypti	Achromobacter	Pseudomonadota
Aedes aegypti	Acinetobacter	Pseudomonadota
Aedes aegypti	Aeromonas	Pseudomonadota
Aedes aegypti	Alcaligenes	Pseudomonadota
Aedes aegypti	Aquitalea	Pseudomonadota
Aedes aegypti	Asaia	Pseudomonadota
Aedes aegypti	Bacillus	Bacillota
Aedes aegypti	Beauveria	Ascomycota
Aedes aegypti	Chromobacterium	Pseudomonadota
Aedes aegypti	Chryseobacterium	Bacteroidota
Aedes aegypti	Comamonas	Pseudomonadota
Aedes aegypti	Gluconobacter	Pseudomonadota
Aedes aegypti	Klebsiella	Pseudomonadota
Aedes aegypti	Leucobacter	Actinomycetota
Aedes aegypti	Microbacterium	Actinomycetota
Aedes aegypti	Paenibacillus	Bacillota
Aedes aegypti	Peribacillus	Bacillota
Aedes aegypti	Proteus	Pseudomonadota
Aedes aegypti	Pseudomonas	Pseudomonadota
Aedes aegypti	Serratia	Pseudomonadota
Aedes aegypti	Sphingobium	Pseudomonadota
Aedes aegypti	Staphylococcus	Bacillota
Aedes aegypti	Wolbachia	Pseudomonadota
Aedes aegypti	Zancudomyces	Other
Aedes albopictus	Wolbachia	Pseudomonadota
Aedes fluviatilis	Wolbachia	Pseudomonadota
Aethalotus nigriventris	Burkholderia	Pseudomonadota
Aethina tumida	Kodamaea	Ascomycota
