序号	分类目	昆虫名称	共生体分类属	共生体名称	功能
ID	Order	Insect Species	Symbiont Genus	Symbiont Name	Function
RISB0001	Coleoptera	Leptinotarsa decemlineata	Proteus	Proteus vulgaris Ld01	produces toxic hydrogen cyanide (HCN) and a mandelonitrile-producing cyanoglucoside, amygdalin, which protect the insect from predation
RISB0002	Coleoptera	Harmonia axyridis	None	gut bacteria	None
RISB0003	Lepidoptera	Spodoptera frugiperda	Enterococcus	Enterococcus spp.	may play a protective role against insect pathogens
RISB0004	Lepidoptera	Spodoptera frugiperda	Klebsiella	Klebsiella spp.	may have positive effects on insect fecundity
RISB0005	Lepidoptera	Tuta absoluta	None	Microbiome	None
RISB0006	Hemiptera	Sitobion miscanthi	None	Sitobion miscanthi L-type symbiont (SMLS)	SMLS mediates host antiviral defenses to inhibit the propagation of Sitobion miscanthi densovirus（SmDV）
RISB0007	Diptera	Phormia regina	Exiguobacterium	Exiguobacterium sp.	prompted oviposition by flies; The flies' oviposition decisions appear to be guided by bacteria-derived semiochemicals as the bacteria
RISB0008	Diptera	Phormia regina	Morganella	Morganella morganii	deterred oviposition by female stable flies; The flies' oviposition decisions appear to be guided by bacteria-derived semiochemicals as the bacteria
RISB0009	Diptera	Phormia regina	Serratia	Serratia marcescens	prompted oviposition by flies; The flies' oviposition decisions appear to be guided by bacteria-derived semiochemicals as the bacteria
RISB0010	Hemiptera	Sogatella furcifera	Candidatus Cardinium	Cardinium	significantly decreased the diversity of the microbial community
RISB0011	Hemiptera	Sogatella furcifera	Wolbachia	Wolbachia	significantly decreased the diversity of the microbial community
RISB0012	Coleoptera	Oryctes rhinoceros	None	gut bacteria	digestive symbiosis with potential plant cell wall degrading microbes
RISB0013	Coleoptera	Oryctes rhinoceros	None	gut bacteria	digestive symbiosis with potential plant cell wall degrading microbes
RISB0014	Diptera	Aedes aegypti	Asaia	Asaia	The bacterium Asaia is considered a highly promising candidate for arboviral control in Aedes mosquitoes.Asaia could play a role in inhibiting CHIKV within Ae. aegypti.
RISB0015	Diptera	Aedes aegypti	Chryseobacterium	Chryseobacterium	None
RISB0016	Diptera	Aedes aegypti	Gluconobacter	Gluconobacter	Gluconobacter might increase the susceptibility of Ae. aegypti to CHIKV infection.
RISB0017	Lepidoptera	Scirpophaga incertulas	Acinetobacter	Acinetobacter calcoaceticus strain NRYSBAC-1	degrade Chlorpyrifos and Chlorantraniliprole in vitro
RISB0018	Lepidoptera	Scirpophaga incertulas	Bacillus	Bacillus sp. strain NRYSBBS-1	degrade Chlorpyrifos and Chlorantraniliprole in vitro
RISB0019	Lepidoptera	Scirpophaga incertulas	Bacillus	Bacillus cereus strain NRYSBBC-1	degrade Chlorpyrifos and Chlorantraniliprole in vitro
RISB0020	Lepidoptera	Scirpophaga incertulas	Bacillus	Bacillus sp. strain NRYSBBP-1	degrade Chlorpyrifos and Chlorantraniliprole in vitro
RISB0021	Lepidoptera	Chilo suppressalis	Bacillus	Bacillus sp. strain NRSSBBS-1	degrade Chlorpyrifos and Chlorantraniliprole in vitro
RISB0022	Lepidoptera	Chilo suppressalis	Bacillus	Bacillus proteolyticus strain NRSSBBP-1	degrade Chlorpyrifos and Chlorantraniliprole in vitro
RISB0023	Lepidoptera	Chilo suppressalis	Bacillus	Bacillus stratosphericus strain NRSSBBS-1	degrade Chlorpyrifos and Chlorantraniliprole in vitro
RISB0024	Lepidoptera	Chilo suppressalis	Bacillus	Bacillus subtilis strain NRSSBSUB-1	degrade Chlorpyrifos and Chlorantraniliprole in vitro
RISB0025	Lepidoptera	Chilo suppressalis	Bacillus	Bacillus albus strain NRSSBBA-1	degrade Chlorpyrifos and Chlorantraniliprole in vitro
RISB0026	Lepidoptera	Sesamia inferens	Enterococcus	Enterococcus faecalis strain NRPSBEF-1	degrade Chlorpyrifos and Chlorantraniliprole in vitro
RISB0027	Lepidoptera	Scirpophaga incertulas	Klebsiella	Klebsiella sp. strain NRYSBKS-1	degrade Chlorpyrifos and Chlorantraniliprole in vitro
RISB0028	Lepidoptera	Sesamia inferens	Paraclostridium	Paraclostridium sp. strain NRPSBPS-1	degrade Chlorpyrifos and Chlorantraniliprole in vitro
RISB0029	Lepidoptera	Sesamia inferens	Staphylococcus	Staphylococcus sp. strain NRPSBSS-1	degrade Chlorpyrifos and Chlorantraniliprole in vitro
RISB0030	Lepidoptera	Sesamia inferens	Staphylococcus	Staphylococcus pavanii strain NRPSBSP-1	degrade Chlorpyrifos and Chlorantraniliprole in vitro
RISB0031	Lepidoptera	Sesamia inferens	Stenotrophomonas	Stenotrophomonas sp. strain NRPSBSP-1	degrade Chlorpyrifos and Chlorantraniliprole in vitro
RISB0032	Lepidoptera	Sesamia inferens	Stenotrophomonas	Stenotrophomonas sp. strain NRPSBSM-1	degrade Chlorpyrifos and Chlorantraniliprole in vitro
RISB0033	Hemiptera	Cimex lectularius	Wolbachia	Wolbachia wCle	supplying B vitamins
RISB0034	Coleoptera	Euops chinensis	Penicillium	Penicillium herquei	P. herquei has the potential to synthesize or concentrate ergosterol, amino acids, and B vitamins and benefits the larvae of E. chinensis
RISB0035	Coleoptera	Anisandrus maiche	Ambrosiella	Ambrosiella cleistominuta	None
RISB0036	Diptera	Aedes aegypti	Wolbachia	Wolbachia	None
RISB0037	Hemiptera	Philanus spumarius	None	gut bacteria	degrade cellulose
RISB0038	Diptera	Anopheles arabiensis	None	Microsporidia sp. MB	a malaria-blocking microsporidian symbiont
RISB0039	Diptera	Aldrichina grahami	Lactobacillus	Lactobacillus	None
RISB0040	Diptera	Aldrichina grahami	Morganella	Morganella	None
RISB0041	Diptera	Aldrichina grahami	Providencia	Providencia	None
RISB0042	Diptera	Aldrichina grahami	Vagococcus	Vagococcus	None
RISB0043	Coleoptera	Anoplophora glabripennis	Fusarium	Fusarium solani	weight and head capsule width were higher in larvae fed on F. solani, and gut lignocellulose activities were elevated in fed larvae
RISB0044	Blattodea	Supella longipalpa	Blattabacterium	Blattabacterium	Blattabacterium endosymbionts could directly or indirectly influence the composition of other bacterial populations by reducing diversity
RISB0045	Hemiptera	Phenacoccus solenopsis	Candidatus Tremblaya	Tremblaya phenacola	T. phenacola PSOL contributed to high fecundity in P. solenopsis
RISB0046	Hemiptera	Nilaparvata lugens	Hirsutella	Hirsutella proturicola	None
RISB0047	Hemiptera	Nilaparvata lugens	None	fungal community	None
RISB0048	Hemiptera	Nilaparvata lugens	Ophiocordyceps	Ophiocordyceps heteropoda	None
RISB0049	Hemiptera	Nilaparvata lugens	Polycephalomyces	Polycephalomyces prolificus	None
RISB0050	Lepidoptera	Clanis bilineata tsingtauica	Enterococcus	Enterococcus casseliflavus	regulates amino acid metabolism
RISB0051	Diptera	Episyrphus balteatus	Buchnera	Buchnera aphidicola	None
RISB0052	Diptera	Episyrphus balteatus	Enterococcus	Enterococcus silesiacus	None
RISB0053	Diptera	Episyrphus balteatus	Morganella	Morganella morganii	None
RISB0054	Diptera	Episyrphus balteatus	Proteus	Cosenzaea myxofaciens	None
RISB0055	Diptera	Episyrphus balteatus	Serratia	Serratia symbiotica	None
RISB0056	Coleoptera	Dendroctonus ponderosae	Grosmannia	Grosmannia clavigera	fungal pathogenicity likely is more important in aiding MPB colonization and development within the host tree
RISB0057	Coleoptera	Listrus sp.	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Lsp07	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.
RISB0058	Coleoptera	Listrus sp.	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Lsp00	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.
RISB0059	Coleoptera	Listrus sp.	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Lsp04	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.
RISB0060	Coleoptera	Danacea nigritarsis GER	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri DngrGER	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.
RISB0061	Coleoptera	Danacea nigritarsis ITA	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri DngrITA	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.
