Genome ID	Source ID	Source	Host	Function	Reference Name	Reference Accession	Reference Phylum	Reference Order	Reference Genus	Reference Name	CheckM Marker lineage	CheckM genomes	CheckM markers	Completeness	Contamination	Strain heterogeneity	QS	gtdb classification	gtdb Phylum	closest_genome_reference	closest_genome_reference_radius	closest_genome_ani	closest_placement_reference	classification_method	note
GISB0001	RISB1901	Literature Record	Bemisia tabaci	None	Rickettsia conorii	AE006914.1	Pseudomonadota	Rickettsiales	Rickettsia	Rickettsia conorii	g__Rickettsia (UID3817)	41	673	99.53	0.33	0	97.88	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia rickettsii	p__Pseudomonadota	GCF_001951015.1	95.84	98.33	GCF_001951015.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0002	RISB1906	Literature Record	Bemisia tabaci	None	Rickettsia typhi	AE017197.1	Pseudomonadota	Rickettsiales	Rickettsia	Rickettsia typhi	g__Rickettsia (UID3815)	43	662	99.66	0.33	0	98.01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia typhi	p__Pseudomonadota	GCF_000008045.1	95	100	GCF_000008045.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0003	RISB2368	Literature Record	Megacopta punctatissima	Microbe compensates for nutritional deficiency of host diet by supplying essential amino acids	Candidatus Ishikawella capsulata	AP010872.1	Pseudomonadota	Enterobacterales	Candidatus Ishikawella	Candidatus Ishikawella capsulata	k__Bacteria (UID2495)	2993	136	98.75	0	0	98.75	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Ishikawaella;s__Ishikawaella capsulata	p__Pseudomonadota	GCF_000828515.1	95	100	GCF_000828515.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0004	RISB2368	Literature Record	Megacopta punctatissima	Microbe compensates for nutritional deficiency of host diet by supplying essential amino acids	Candidatus Ishikawella capsulata	AP010873.1	Pseudomonadota	Enterobacterales	Candidatus Ishikawella	Candidatus Ishikawella capsulata	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0005	RISB2072	Literature Record	Cimex lectularius	Provisioning of B vitamins	Wolbachia sp.	AP013028.1	Pseudomonadota	Rickettsiales	Wolbachia	Wolbachia sp.	o__Rickettsiales (UID3811)	63	368	100	0.43	100	97.85	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__Wolbachia sp000829315	p__Pseudomonadota	GCF_000829315.1	95	100	GCF_000829315.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0006	RISB2112	Literature Record	Urostylis westwoodii	the symbiont localizes to a specialized midgut region and supplies essential amino acids deficient in the host's diet	Candidatus Tachikawaea gelatinosa	AP014521.1	Pseudomonadota	Enterobacterales	Candidatus Tachikawaea	Candidatus Tachikawaea gelatinosa	k__Bacteria (UID2495)	2993	136	100	0	0	100	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae_A;g__Tachikawaea;s__Tachikawaea gelatinosa	p__Pseudomonadota	GCF_000828815.1	95	100	GCF_000828815.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0007	RISB1351	Literature Record	Acyrthosiphon pisum	None	Candidatus Serratia symbiotica Strain IS	AP019531.1	Pseudomonadota	Enterobacterales	Serratia	Candidatus Serratia symbiotica Strain IS	f__Enterobacteriaceae (UID5066)	55	546	97.69	0.11	100	97.14	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia_K;s__Serratia_K symbiotica	p__Pseudomonadota	GCF_000821185.2	95.08	98.26	GCA_024160085.1	taxonomic classification defined by topology and ANI	None
GISB0008	RISB1351	Literature Record	Acyrthosiphon pisum	None	Candidatus Serratia symbiotica Strain IS	AP019532.1	Pseudomonadota	Enterobacterales	Serratia	Candidatus Serratia symbiotica Strain IS	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0009	RISB1053	Literature Record	Diaphorina citri	have the genes involved in the biosynthesis of diaphorin, hemolysin, riboflavin, biotin, and carotenoids	Profftella	AP023214.1	Pseudomonadota	Betaproteobacteria	Candidatus Profftella	Profftella	k__Bacteria (UID2495)	2993	147	18.61	0	0	18.61	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae_A;g__Zinderia;s__	p__Pseudomonadota	None	None	None	None	taxonomic novelty determined using RED	classification based on placement in class-level tree
GISB0010	RISB1053	Literature Record	Diaphorina citri	have the genes involved in the biosynthesis of diaphorin, hemolysin, riboflavin, biotin, and carotenoids	Profftella	AP023215.1	Pseudomonadota	Betaproteobacteria	Candidatus Profftella	Profftella	o__Burkholderiales (UID4002)	107	574	33.34	0	0	33.34	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__Profftella;s__	p__Pseudomonadota	None	None	None	GCF_000441555.1	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree
GISB0011	RISB2577	Literature Record	Glossina brevipalpis	provide its tsetse host with metabolites such as vitamins	Wigglesworthia glossinidia brevipalpis	BA000021.3	Pseudomonadota	Enterobacterales	Wigglesworthia	Wigglesworthia glossinidia brevipalpis	k__Bacteria (UID2495)	2993	134	100	0	0	100	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae_A;g__Wigglesworthia;s__Wigglesworthia glossinidia_A	p__Pseudomonadota	GCA_000008885.1	95	100	GCA_000008885.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0012	RISB2570	Literature Record	Camponotus floridanus	Blochmannia is able to supply nitrogen and sulfur compounds to the host while it takes advantage of the host metabolic machinery	Blochmannia floridanus	BX248583.1	Pseudomonadota	Enterobacterales	Candidatus Blochmanniella	Blochmannia floridanus	k__Bacteria (UID2495)	2993	138	98.37	0	0	98.37	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae_A;g__Blochmannia;s__Blochmannia floridanus	p__Pseudomonadota	GCA_000043285.1	95	100	GCA_000043285.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0014	RISB1900	Literature Record	Bemisia tabaci	None	Rickettsia felis	CP000053.1	Pseudomonadota	Rickettsiales	Rickettsia	Rickettsia felis	o__Rickettsiales (UID3809)	83	324	100	0	0	100	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia felis	p__Pseudomonadota	GCA_000012145.1	95.05	100	GCA_000012145.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0015	RISB1897	Literature Record	Bemisia tabaci	None	Rickettsia bellii RML369-C	CP000087.1	Pseudomonadota	Rickettsiales	Rickettsia	Rickettsia bellii RML369-C	o__Rickettsiales (UID3809)	83	324	100	0	0	100	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia bellii	p__Pseudomonadota	GCF_000012385.1	95	100	GCF_000012385.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0016	RISB1898	Literature Record	Bemisia tabaci	None	Rickettsia canadensis str. McKiel	CP000409.1	Pseudomonadota	Rickettsiales	Rickettsia	Rickettsia canadensis str. McKiel	o__Rickettsiales (UID3809)	83	324	99.53	0	0	99.53	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia canadensis	p__Pseudomonadota	GCF_000014345.1	95	100	GCF_000014345.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0017	RISB1904	Literature Record	Bemisia tabaci	None	Rickettsia massiliae	CP000683.1	Pseudomonadota	Rickettsiales	Rickettsia	Rickettsia massiliae	g__Rickettsia (UID3815)	43	662	99.59	0.08	0	99.19	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia rickettsii	p__Pseudomonadota	GCF_001951015.1	95.84	97.15	None	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments
GISB0018	RISB1903	Literature Record	Bemisia tabaci	None	Rickettsia rickettsii	CP000848.1	Pseudomonadota	Rickettsiales	Rickettsia	Rickettsia rickettsii	g__Rickettsia (UID3817)	41	673	99.59	0	0	99.59	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia rickettsii	p__Pseudomonadota	GCF_001951015.1	95.84	99.93	GCF_001951015.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0019	RISB2506	Literature Record	Acyrthosiphon pisum	can block larval development of the solitary endoparasitoid wasps Aphidius ervi and Aphidius eadyi, rescuing the aphid hos	Candidatus Hamiltonella defensa 5AT	CP001277.1	Pseudomonadota	Enterobacterales	Candidatus Hamiltonella	Candidatus Hamiltonella defensa 5AT	f__Enterobacteriaceae (UID5066)	55	546	98.91	0.15	0	98.16	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Hamiltonella;s__Hamiltonella defensa	p__Pseudomonadota	GCF_000021705.1	95	100	GCF_000021705.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
